Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Cell Population Proliferation (GO:0042127)	23/766	2.701501e-06	3.736177e-03	0	0	3.332885e+00	4.273326e+01	COL18A1;TFAP2B;XBP1;CTF1;TESC;SCX;PDGFA;AKR1B1;PROX1;NCCRP1;PKHD1;TIAM1;CLDN3;SCIN;EPCAM;COL4A3;CLDN19;GCNT2;IGFBP7;NUPR1;S100A11;BOK;SMIM22
GO_Biological_Process_2023	Epithelium Development (GO:0060429)	9/154	2.535210e-05	1.156028e-02	0	0	6.387254e+00	6.759407e+01	LGALS3;NDRG4;SPINT1;PAX8;WNT7B;ALDOC;PROX1;PPP2R3A;CNN3
GO_Biological_Process_2023	Negative Regulation Of Programmed Cell Death (GO:0043069)	14/381	3.136186e-05	1.156028e-02	0	0	3.985556e+00	4.132989e+01	TFAP2B;XBP1;ANXA1;SCX;PKHD1;DNAJC3;PRDX5;BAG4;KRT18;MIEN1;PROK2;ANGPTL4;NUPR1;CRYAB
GO_Biological_Process_2023	Regulation Of Smooth Muscle Cell Migration (GO:0014910)	4/19	3.343536e-05	1.156028e-02	0	0	2.691837e+01	2.774179e+02	NDRG4;PDGFA;SORL1;S100A11
GO_Biological_Process_2023	Fructose 1,6-Bisphosphate Metabolic Process (GO:0030388)	3/8	5.316210e-05	1.470464e-02	0	0	6.028934e+01	5.933776e+02	PFKL;ALDOC;PFKP
GO_Biological_Process_2023	Regulation Of Apoptotic Process (GO:0042981)	19/705	8.940780e-05	2.060850e-02	0	0	2.924843e+00	2.726627e+01	TFAP2B;XBP1;ANXA1;SCX;SEPTIN4;PKHD1;DNAJC3;PRDX5;BAG4;KRT18;SCIN;MIEN1;PAX8;ANKRD1;PROK2;ANGPTL4;NUPR1;CRYAB;BOK
GO_Biological_Process_2023	Negative Regulation Of Apoptotic Process (GO:0043066)	15/482	1.076178e-04	2.082203e-02	0	0	3.356618e+00	3.066916e+01	TFAP2B;XBP1;ANXA1;PRKCD;SCX;PKHD1;DNAJC3;PRDX5;BAG4;KRT18;MIEN1;PROK2;ANGPTL4;NUPR1;CRYAB
GO_Biological_Process_2023	Negative Regulation Of Cell Population Proliferation (GO:0008285)	13/379	1.204456e-04	2.082203e-02	0	0	3.691330e+00	3.331171e+01	COL18A1;TFAP2B;NDRG4;TESC;AKR1B1;PROX1;CLDN3;SCIN;COL4A3;CLDN19;IGFBP7;NUPR1;S100A11
GO_Biological_Process_2023	Negative Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120033)	4/29	1.894600e-04	2.804268e-02	0	0	1.614286e+01	1.383658e+02	PRKCD;TBC1D7;TACSTD2;ARHGAP24
GO_Biological_Process_2023	Positive Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000651)	3/12	2.027670e-04	2.804268e-02	0	0	3.348731e+01	2.847578e+02	FXYD2;TESC;ATP1B1
