"","END","IMM","MES","PEC","POD","SMC","TEC"
"END",0.0130223086795436,0.20850839445015,0.0966671277170673,0.0130348724498197,0.0583542700374458,0.067204869755281,0
"IMM",0.00492456881631822,0.923956233671038,0.128418555222571,0.0417922289730256,0.059833865098935,0.0400471186575955,0.0309250113754336
"MES",0.0969748410395282,0.296534532747357,0.293870181941264,0.328391102752843,0.516103762546862,0.359906224328585,0.215037673396897
"PEC",0.0750847670176195,0.508874884555077,0.234893291578984,0.200374115878398,0.258871496220013,0.186880359255423,0.166009566208021
"POD",0.193660395720226,0.787851693872407,0.33416679744986,0.38423701868783,0.493266214637455,0.323253220746548,0.266172728713862
"SMC",0.0495599172792765,0.367667075715756,0.144431583887109,0.173729280277232,0.242189299190762,0.15693144856584,0.11691400008469
"TEC",0.0224126407929033,0.316950779322843,0.114244577704438,0.155822813351928,0.176001377777029,0.115290439466715,0.236167078112612
