"","END","IMM","MES","PEC","POD","SMC","TEC"
"END",0,1,3,0,2,3,0
"IMM",0,1,2,0,2,0,0
"MES",5,7,13,5,6,7,6
"PEC",1,4,7,1,5,2,1
"POD",5,9,10,4,8,5,4
"SMC",0,2,4,0,5,3,1
"TEC",1,3,5,0,4,1,2
