"","END","IMM","MES","PEC","POD","SMC","TEC"
"END",0,0.0142627493134066,0.0516534572742442,0,0.0117249481865292,0.0549250020435986,0
"IMM",0,0.0351557439284917,0.0743793124691208,0,0.0116234182180323,0,0
"MES",0.0317541771498128,0.0472079770370626,0.110350266678427,0.04419619369575,0.278435014970719,0.10336658472448,0.0882497283808759
"PEC",0.00163450511325217,0.019888768364295,0.0364377190337721,0.00431676612724683,0.0513599988635017,0.0200846635831415,0.0106128070618416
"POD",0.117432276824593,0.304877370757249,0.164171495087483,0.0668501153396062,0.358973234492133,0.131531041837343,0.160685509384864
"SMC",0,0.0166790401400811,0.0235584129492015,0,0.0409555259136452,0.0483870779928552,0.00723637689112215
"TEC",0.00932703425057343,0.0578127426745186,0.0213318584233419,0,0.0391768871894079,0.00901307765809301,0.0455639328865154
