cluster,names,scores,logfoldchanges,pvals,pvals_adj
16,ENSMUSG00000027435,10.670012,4.272518,1.4060766552670748e-26,6.167520902219813e-24
16,ENSMUSG00000041736,10.573511,1.4892389,3.954093189532233e-26,1.6650211929937487e-23
16,ENSMUSG00000022584,10.335993,3.2300708,4.843705924824387e-25,1.9026366049183315e-22
16,ENSMUSG00000041445,10.320922,2.9624364,5.667610984050977e-25,2.209780531529683e-22
16,ENSMUSG00000031871,10.247343,2.802725,1.2164141186847826e-24,4.540934294403704e-22
16,ENSMUSG00000020717,9.992222,2.898337,1.6484513496579186e-23,5.823348002724443e-21
16,ENSMUSG00000038811,9.907308,2.8071625,3.8693197109048714e-23,1.3311471392365283e-20
16,ENSMUSG00000032050,9.749638,1.7838749,1.8512750981394106e-22,5.97814208991816e-20
16,ENSMUSG00000059588,9.70088,3.510417,2.9890792253375383e-22,9.47790205451004e-20
16,ENSMUSG00000073411,9.665294,1.2077334,4.234027455635762e-22,1.3109545244402586e-19
16,ENSMUSG00000050234,9.528077,3.5938628,1.6022394629185231e-21,4.737948110684235e-19
16,ENSMUSG00000024608,9.509777,0.7259392,1.9107185940753653e-21,5.556496349047013e-19
16,ENSMUSG00000026566,9.486538,2.5589342,2.388346709703641e-21,6.832229207171785e-19
16,ENSMUSG00000021367,9.483309,3.8240995,2.4634557274599885e-21,7.008997603815349e-19
16,ENSMUSG00000016494,9.38611,2.474178,6.225689029606182e-21,1.7156825537295864e-18
16,ENSMUSG00000021759,9.285049,1.8280634,1.6163164336492305e-20,4.275197577967885e-18
16,ENSMUSG00000007655,9.219702,2.6668065,2.9792645210628824e-20,7.57567958119159e-18
16,ENSMUSG00000029322,9.197539,3.5871627,3.662386612470804e-20,9.093084044057228e-18
16,ENSMUSG00000021453,9.129026,1.9301168,6.911821643754977e-20,1.6843085372254025e-17
16,ENSMUSG00000018585,9.12719,1.2466305,7.030036745438307e-20,1.7052212632852105e-17
16,ENSMUSG00000051669,9.029549,2.7407973,1.7238159446730818e-19,3.997126698846358e-17
16,ENSMUSG00000022799,9.014794,2.9852276,1.9723970539825593e-19,4.5138735362359126e-17
16,ENSMUSG00000030096,8.996368,1.6684991,2.333080098779962e-19,5.2510609042403396e-17
16,ENSMUSG00000046718,8.9963045,2.1004322,2.3344255862760076e-19,5.2510609042403396e-17
16,ENSMUSG00000091971,8.9871235,2.1020014,2.537860280733117e-19,5.684375052624186e-17
16,ENSMUSG00000047867,8.986426,2.2811089,2.553989397331605e-19,5.696262115167219e-17
16,ENSMUSG00000030342,8.733395,1.6014161,2.471402949421691e-18,5.141690341729649e-16
16,ENSMUSG00000045930,8.721174,2.939206,2.7533212581916e-18,5.683286970438159e-16
16,ENSMUSG00000022462,8.613908,1.413488,7.061154179817908e-18,1.4131973817828722e-15
16,ENSMUSG00000060802,8.597128,1.132697,8.173610770790928e-18,1.611333994499443e-15
16,ENSMUSG00000020151,8.569013,4.3017344,1.0437581094908986e-17,2.0272786660945732e-15
16,ENSMUSG00000063065,8.554386,1.596996,1.1849804543455931e-17,2.2847117653822213e-15
