Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cellular Respiration (GO:0045333)	32/85	1.013146e-42	1.187407e-39	0	0	7.139713e+01	6.903782e+03	NDUFB9;COX7B;NDUFA13;NDUFB8;NDUFA11;NDUFB6;NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX5A;UQCRH;CYC1;PPARGC1A;COX8A;NDUFA8;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6C;COX6B1;NDUFS6;UQCRQ;NDUFS4
GO_Biological_Process_2023	Proton Motive Force-Driven ATP Synthesis (GO:0015986)	28/60	9.552595e-41	5.597820e-38	0	0	1.011572e+02	9.321549e+03	NDUFB9;NDUFA13;NDUFB8;NDUFA11;NDUFB6;NDUFA12;NDUFB11;NDUFB2;ATP5MC3;NDUFB1;ATP5MC1;ATP5F1B;ATP5MK;ATP5MJ;ATP5MF;ATP5ME;ATP5PF;NDUFA8;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC1;ATP5F1D;ATP5F1E;NDUFS6;NDUFS4;ATP5PO
GO_Biological_Process_2023	Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	28/70	2.371084e-38	9.263033e-36	0	0	7.703314e+01	6.673757e+03	NDUFB9;COX7B;NDUFB8;NDUFB6;NDUFA12;COX4I1;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX5A;UQCRH;CYC1;COX8A;NDUFA8;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6C;COX6B1;NDUFS6;UQCRQ;NDUFS4
GO_Biological_Process_2023	Aerobic Electron Transport Chain (GO:0019646)	27/68	6.751224e-37	1.978109e-34	0	0	7.565513e+01	6.301008e+03	NDUFB9;COX7B;NDUFB8;NDUFB6;COX4I1;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX5A;UQCRH;CYC1;COX8A;NDUFA8;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6C;COX6B1;NDUFS6;UQCRQ;NDUFS4
GO_Biological_Process_2023	Oxidative Phosphorylation (GO:0006119)	26/63	4.222969e-36	9.898639e-34	0	0	8.027871e+01	6.538903e+03	NDUFB9;NDUFA13;NDUFB8;NDUFA11;NDUFB6;NDUFA12;NDUFB11;NDUFB2;NDUFB1;UQCRH;ATP5F1B;ATP5MF;ATP5ME;ATP5PF;NDUFA8;NDUFA5;NDUFA3;NDUFA2;NDUFA1;CHCHD10;NDUFC1;ATP5F1D;ATP5F1E;NDUFS6;NDUFS4;ATP5PO
GO_Biological_Process_2023	Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	24/53	1.288815e-34	2.517485e-32	0	0	9.350305e+01	7.296433e+03	NDUFB9;ATP5PF;NDUFA8;NDUFA13;NDUFB8;NDUFA11;NDUFB6;NDUFA5;NDUFA12;NDUFB11;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFB1;NDUFC1;ATP5F1D;ATP5F1E;ATP5F1B;NDUFS6;NDUFS4;ATP5PO;ATP5MF;ATP5ME
GO_Biological_Process_2023	Aerobic Respiration (GO:0009060)	20/59	6.793431e-26	1.137415e-23	0	0	5.661653e+01	3.280999e+03	NDUFB9;NDUFA8;NDUFA13;NDUFB8;NDUFA11;NDUFB6;NDUFA5;NDUFA12;NDUFB11;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFB1;CHCHD10;NDUFC1;ATP5F1D;UQCRH;NDUFS6;NDUFS4
GO_Biological_Process_2023	Energy Derivation By Oxidation Of Organic Compounds (GO:0015980)	16/43	1.047972e-21	1.535279e-19	0	0	6.403238e+01	3.093240e+03	COX8A;COX7B;COX4I1;COX7A2;UQCR11;UQCR10;COX5B;COX6A1;COX6C;COX5A;UQCRH;COX6B1;UQCRQ;NDUFS4;CYC1;PPARGC1A
GO_Biological_Process_2023	ATP Biosynthetic Process (GO:0006754)	13/25	2.950297e-20	3.841943e-18	0	0	1.152585e+02	5.183152e+03	ATP5PF;ATP5MC3;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1A;ATP5F1B;ATP5PO;ATP5MK;ATP5MJ;ALDOA;ATP5MF;ATP5ME
GO_Biological_Process_2023	NADH Dehydrogenase Complex Assembly (GO:0010257)	15/53	2.438722e-18	2.598348e-16	0	0	4.239774e+01	1.719443e+03	NDUFB9;NDUFA8;NDUFA13;NDUFB8;NDUFA11;NDUFB6;NDUFA5;NDUFB11;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFB1;NDUFC1;NDUFS4
GO_Biological_Process_2023	Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981)	15/53	2.438722e-18	2.598348e-16	0	0	4.239774e+01	1.719443e+03	NDUFB9;NDUFA8;NDUFA13;NDUFB8;NDUFA11;NDUFB6;NDUFA5;NDUFB11;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFB1;NDUFC1;NDUFS4
GO_Biological_Process_2023	Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)	12/34	3.050323e-16	2.979148e-14	0	0	5.769276e+01	2.061138e+03	NDUFB9;NDUFA8;NDUFB8;NDUFB6;NDUFA5;NDUFS6;NDUFA3;NDUFA2;NDUFS4;NDUFB2;NDUFB1;NDUFC1
