Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)	9/96	4.900882e-07	5.117381e-04	0	0	1.073358e+01	1.559447e+02	ACVRL1;CDH5;MEF2C;JUN;HYAL2;PDE2A;ID1;LRRC32;ENG
GO_Biological_Process_2023	Vasculogenesis (GO:0001570)	6/33	7.967037e-07	5.117381e-04	0	0	2.276799e+01	3.197260e+02	RAMP2;EGFL7;SOX17;CAV1;RASIP1;ENG
GO_Biological_Process_2023	Blood Vessel Morphogenesis (GO:0048514)	7/53	9.089487e-07	5.117381e-04	0	0	1.565727e+01	2.178079e+02	EGFL7;RAMP2;SOX17;CAV1;ID1;RASIP1;ENG
GO_Biological_Process_2023	Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428)	6/39	2.233242e-06	9.429863e-04	0	0	1.862270e+01	2.423197e+02	EDN1;HSP90AB1;CAV1;CD47;KLF4;KLF2
GO_Biological_Process_2023	Maintenance Of Blood-Brain Barrier (GO:0035633)	5/29	9.068543e-06	2.691553e-03	0	0	2.123819e+01	2.465902e+02	CDH5;PECAM1;ESAM;F11R;JAM2
GO_Biological_Process_2023	Glomerulus Vasculature Development (GO:0072012)	3/5	9.561469e-06	2.691553e-03	0	0	1.515230e+02	1.751267e+03	PECAM1;TEK;CD34
GO_Biological_Process_2023	Protein Localization To Cell Periphery (GO:1990778)	9/142	1.274322e-05	3.074756e-03	0	0	7.004828e+00	7.894799e+01	EHD2;RAMP2;EHD4;CD81;TMEM88;CAV1;RDX;F11R;SPTBN1
GO_Biological_Process_2023	Epithelial Tube Morphogenesis (GO:0060562)	5/33	1.754769e-05	3.336532e-03	0	0	1.820048e+01	1.993059e+02	ACVRL1;MEF2C;SOX17;PODXL;RASIP1
GO_Biological_Process_2023	Negative Regulation Of Macromolecule Metabolic Process (GO:0010605)	10/186	1.777904e-05	3.336532e-03	0	0	5.899772e+00	6.452870e+01	ACVRL1;MEF2C;EDN1;HSP90AB1;LGALS9;GATA2;KLF4;CD34;FOXP1;ENG
GO_Biological_Process_2023	Positive Regulation Of Endothelial Cell Migration (GO:0010595)	7/85	2.225487e-05	3.758847e-03	0	0	9.218817e+00	9.876072e+01	EDN1;SPARC;TMSB4X;HSPB1;TEK;GATA2;FOXP1
GO_Biological_Process_2023	Heart Trabecula Morphogenesis (GO:0061384)	4/18	2.608662e-05	4.005482e-03	0	0	2.899194e+01	3.059835e+02	FKBP1A;S1PR1;TEK;ENG
GO_Biological_Process_2023	Negative Regulation Of Endothelial Cell Proliferation (GO:0001937)	5/37	3.120484e-05	4.056134e-03	0	0	1.592220e+01	1.651918e+02	MEF2C;SPARC;CAV2;CAV1;MMRN2
GO_Biological_Process_2023	Regulation Of Cell Migration (GO:0030334)	15/434	3.121950e-05	4.056134e-03	0	0	3.771013e+00	3.912225e+01	ACVRL1;EDN1;CAV1;RDX;FAM107A;SEMA3G;BST2;CDH5;ADAM15;PODXL;TMSB4X;MMRN2;PECAM1;SGK1;ENG
GO_Biological_Process_2023	Negative Regulation Of Cell Growth (GO:0030308)	8/125	3.631895e-05	4.316709e-03	0	0	7.046673e+00	7.203934e+01	BST2;ACVRL1;SOX17;ADAM15;HYAL2;SEMA3G;MSX1;HSPA1A
GO_Biological_Process_2023	Negative Regulation Of Viral Life Cycle (GO:1903901)	4/20	4.066472e-05	4.316709e-03	0	0	2.536538e+01	2.564478e+02	IFITM3;BST2;IFITM2;LY6E
GO_Biological_Process_2023	Regulation Of Angiogenesis (GO:0045765)	10/205	4.089245e-05	4.316709e-03	0	0	5.319767e+00	5.375393e+01	CDH5;RAMP2;SPARC;ECSCR;HSPB1;TEK;GATA2;KLF4;GLUL;CD34
GO_Biological_Process_2023	Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178)	8/130	4.807704e-05	4.776596e-03	0	0	6.756158e+00	6.717449e+01	ACVRL1;FKBP1A;CDH5;JUN;ID1;LRRC32;ENG;MAPK3
GO_Biological_Process_2023	Circulatory System Development (GO:0072359)	8/132	5.359390e-05	5.028895e-03	0	0	6.646512e+00	6.536230e+01	ACVRL1;CDH5;MEF2C;RAMP2;SOX17;ECE1;TEK;CRIP1
GO_Biological_Process_2023	Regulation Of Endothelial Cell Apoptotic Process (GO:2000351)	5/43	6.565632e-05	5.836501e-03	0	0	1.340410e+01	1.290959e+02	CDH5;RAMP2;ECSCR;TEK;GATA2
GO_Biological_Process_2023	Protein Localization To Plasma Membrane (GO:0072659)	8/137	6.973240e-05	5.888901e-03	0	0	6.387272e+00	6.113160e+01	EHD2;RAMP2;EHD4;CD81;TMEM88;RDX;F11R;SPTBN1
GO_Biological_Process_2023	Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	13/364	7.647982e-05	6.151163e-03	0	0	3.872959e+00	3.670978e+01	MEF2C;RAMP2;PDE2A;RDX;ECE1;GATA2;KLF4;KLF2;CDH5;LGALS9;CD34;SLC38A2;HSPA1A
