Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Negative Regulation Of Cellular Process (GO:0048523)	19/537	2.038463e-06	1.942715e-03	0	0	3.907485e+00	5.120101e+01	COL18A1;FHL1;WNT16;CLU;BMP4;DDAH1;WT1;MDK;FTH1;ALDH1A2;PDPN;CYP1B1;IGFBP7;IGFBP6;HOXC9;SOX4;S100A11;ZBTB7C;IP6K2
GO_Biological_Process_2023	Regulation Of Apoptotic Process (GO:0042981)	22/705	2.434480e-06	1.942715e-03	0	0	3.459407e+00	4.471553e+01	TSC22D1;MAGED1;ACTN1;ANXA5;HTRA1;FHL2;CLU;BMP4;PRDX2;LGALS1;PAX8;AXL;WT1;MORF4L2;PDPN;BCL2;CYP1B1;VDAC1;GAS6;SOX4;TGM2;IP6K2
GO_Biological_Process_2023	Metanephros Development (GO:0001656)	5/25	4.294348e-06	2.284593e-03	0	0	2.535897e+01	3.133915e+02	BMP4;OSR2;FOXD1;PAX8;WT1
GO_Biological_Process_2023	Negative Regulation Of Cell Population Proliferation (GO:0008285)	15/379	6.759146e-06	2.696899e-03	0	0	4.329373e+00	5.153952e+01	COL18A1;MAGED1;BMP4;DDAH1;WT1;FTH1;ALDH1A2;PDPN;CYP1B1;IGFBP7;APOE;IGFBP6;SOX4;S100A11;ZBTB7C
GO_Biological_Process_2023	Epiboly Involved In Wound Healing (GO:0090505)	4/15	1.215000e-05	3.776461e-03	0	0	3.671429e+01	4.155389e+02	DDR1;CD151;PDPN;RHOC
GO_Biological_Process_2023	Positive Regulation Of Endocytosis (GO:0045807)	7/79	1.419722e-05	3.776461e-03	0	0	9.937824e+00	1.109306e+02	C3;CD151;AXL;GPC3;APOE;GAS6;CLU
GO_Biological_Process_2023	Bleb Assembly (GO:0032060)	3/6	1.926952e-05	3.963554e-03	0	0	1.004924e+02	1.091044e+03	PMP22;EMP3;MYLK
GO_Biological_Process_2023	Peptide Metabolic Process (GO:0006518)	6/56	1.986744e-05	3.963554e-03	0	0	1.221649e+01	1.322610e+02	ENPEP;MME;CPQ;CPE;AEBP1;CPN1
GO_Biological_Process_2023	Branching Involved In Ureteric Bud Morphogenesis (GO:0001658)	4/18	2.660404e-05	4.674039e-03	0	0	2.884257e+01	3.038405e+02	BMP4;FOXD1;PAX8;WT1
GO_Biological_Process_2023	Regulation Of Cell Population Proliferation (GO:0042127)	21/766	2.928596e-05	4.674039e-03	0	0	3.000675e+00	3.132225e+01	COL18A1;OSR2;CNTF;TSC22D1;CD81;NPR3;CLU;HOXC10;BMP4;DDAH1;WT1;FTH1;ALDH1A2;PDPN;BCL2;CYP1B1;IGFBP7;IGFBP6;SOX4;S100A11;ZBTB7C
GO_Biological_Process_2023	Extracellular Matrix Organization (GO:0030198)	9/176	7.198872e-05	9.023737e-03	0	0	5.539612e+00	5.284236e+01	COL18A1;ADAMTS5;GSN;COL4A2;COL4A1;APLP1;CYP1B1;GAS6;LOXL1
GO_Biological_Process_2023	Kidney Development (GO:0001822)	6/71	7.739575e-05	9.023737e-03	0	0	9.390167e+00	8.889275e+01	BMP4;OSR2;MME;PAX8;WT1;SOX4
GO_Biological_Process_2023	Actin-Mediated Cell Contraction (GO:0070252)	3/9	7.915559e-05	9.023737e-03	0	0	5.023858e+01	4.744579e+02	GSN;PDPN;EPDR1
GO_Biological_Process_2023	Mesenchymal To Epithelial Transition (GO:0060231)	3/9	7.915559e-05	9.023737e-03	0	0	5.023858e+01	4.744579e+02	BMP4;PAX8;WT1
GO_Biological_Process_2023	Positive Regulation Of Apoptotic Process (GO:0043065)	11/270	9.068270e-05	9.648639e-03	0	0	4.391146e+00	4.087342e+01	BMP4;PRNP;LGALS1;CTSL;HTRA1;BCL2;CYP1B1;CLU;SOX4;TGM2;IP6K2
