Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Proton Motive Force-Driven ATP Synthesis (GO:0015986)	23/60	4.100262e-31	4.055159e-28	0	0	6.980528e+01	4.884212e+03	NDUFB9;ATP5PF;NDUFA13;ATP5PD;NDUFA6;NDUFB10;NDUFA5;NDUFB5;ATP5PB;NDUFA3;NDUFA2;NDUFA1;ATP5MC3;NDUFC1;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1B;ATP5PO;ATP5MK;ATP5MJ;ATP5MF
GO_Biological_Process_2023	Cellular Respiration (GO:0045333)	25/85	2.439694e-30	1.206428e-27	0	0	4.727251e+01	3.223308e+03	NDUFB9;COX7B;NDUFA13;NDUFB10;NDUFB5;COX4I1;COX7A2;UQCR11;UQCR10;COX6A1;COX5A;UQCRH;UQCRFS1;CYC1;PPARGC1A;COX8A;NDUFA6;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6C;COX6B1;UQCRQ
GO_Biological_Process_2023	Aerobic Electron Transport Chain (GO:0019646)	23/68	1.314072e-29	4.332057e-27	0	0	5.737222e+01	3.815358e+03	COX8A;NDUFB9;COX7B;NDUFA6;NDUFB10;NDUFA5;NDUFB5;COX4I1;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX7A2;UQCR11;UQCR10;COX6A1;COX6C;COX5A;UQCRH;COX6B1;UQCRQ;UQCRFS1;CYC1
GO_Biological_Process_2023	Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	23/70	2.886399e-29	7.136620e-27	0	0	5.492529e+01	3.609413e+03	COX8A;NDUFB9;COX7B;NDUFA6;NDUFB10;NDUFA5;NDUFB5;COX4I1;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX7A2;UQCR11;UQCR10;COX6A1;COX6C;COX5A;UQCRH;COX6B1;UQCRQ;UQCRFS1;CYC1
GO_Biological_Process_2023	Oxidative Phosphorylation (GO:0006119)	21/63	5.868391e-27	1.160768e-24	0	0	5.550281e+01	3.352382e+03	NDUFB9;ATP5PF;NDUFA13;ATP5PD;NDUFA6;NDUFB10;NDUFA5;NDUFB5;ATP5PB;NDUFA3;NDUFA2;NDUFA1;CHCHD10;NDUFC1;ATP5F1C;ATP5F1D;UQCRH;ATP5F1E;ATP5F1B;ATP5PO;ATP5MF
GO_Biological_Process_2023	Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	19/53	3.350190e-25	5.522230e-23	0	0	6.136814e+01	3.458439e+03	NDUFB9;ATP5PF;NDUFA13;ATP5PD;NDUFA6;NDUFB10;NDUFA5;NDUFB5;ATP5PB;NDUFA3;NDUFA2;NDUFA1;NDUFC1;ATP5F1C;ATP5F1D;ATP5F1E;ATP5F1B;ATP5PO;ATP5MF
GO_Biological_Process_2023	Proton Transmembrane Transport (GO:1902600)	17/49	2.253369e-22	2.934090e-20	0	0	5.770484e+01	2.876266e+03	ATP6V1A;ATP6V0B;RNASEK;ATP6AP1;ATP6AP2;ATP1A1;ATP1B1;ATP5F1B;ATP5PO;ATP6V1H;ATP6V0A4;ATP6V1E1;ATP6V0C;ATP6V1D;ATP5MF;ATP6V1B1;ATP6V1F
GO_Biological_Process_2023	ATP Biosynthetic Process (GO:0006754)	14/25	2.373379e-22	2.934090e-20	0	0	1.361474e+02	6.779128e+03	ATP5PF;ATP5PD;ATP5PB;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1A;ATP5F1B;ATP5PO;ATP5MK;ATP5MJ;ATP5MF
GO_Biological_Process_2023	Energy Derivation By Oxidation Of Organic Compounds (GO:0015980)	15/43	6.447106e-20	7.084653e-18	0	0	5.756891e+01	2.543859e+03	COX8A;COX7B;COX4I1;COX7A2;UQCR11;UQCR10;COX6A1;COX6C;COX5A;UQCRH;COX6B1;UQCRQ;ADGRF5;CYC1;PPARGC1A
GO_Biological_Process_2023	Vacuolar Acidification (GO:0007035)	12/29	3.014497e-17	2.981338e-15	0	0	7.468009e+01	2.840869e+03	ATP6V1A;ATP6V0B;RNASEK;DMXL1;ATP6AP2;ATP6V1H;ATP6V0A4;ATP6V1D;ATP6V0C;ATP6V0D2;ATP6V1F;ATP6V1B1
GO_Biological_Process_2023	Intracellular pH Reduction (GO:0051452)	12/32	1.277952e-16	1.148995e-14	0	0	6.346845e+01	2.322698e+03	ATP6V1A;ATP6V0B;RNASEK;DMXL1;ATP6AP2;ATP6V1H;ATP6V0A4;ATP6V1D;ATP6V0C;ATP6V0D2;ATP6V1F;ATP6V1B1
GO_Biological_Process_2023	Golgi Lumen Acidification (GO:0061795)	8/9	7.440305e-16	6.132052e-14	0	0	8.293194e+02	2.888888e+04	ATP6V1A;ATP6V0B;RNASEK;ATP6AP2;ATP6V1H;ATP6V0C;ATP6V1D;ATP6V1F
