Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Extracellular Matrix Organization (GO:0030198)	29/176	4.589051e-27	6.649535e-24	0	0	2.267323e+01	1.375044e+03	COL15A1;COL16A1;COL14A1;DPT;NID1;LOXL1;LOXL2;ADAMTS2;CTSK;SERPINH1;CYP1B1;GSN;LUM;MMP2;COL1A1;SMOC2;MMP14;COL3A1;CCDC80;COL1A2;COL4A2;LOX;COL5A1;COL4A1;COL5A2;TGFBI;GAS6;DDR2;MATN2
GO_Biological_Process_2023	Collagen Fibril Organization (GO:0030199)	15/42	4.572122e-20	3.312502e-17	0	0	5.937838e+01	2.644222e+03	COL14A1;LUM;DPT;LOXL1;LOXL2;COL1A1;ADAMTS2;COL3A1;COL1A2;COL5A1;LOX;COL5A2;SERPINH1;CYP1B1;DDR2
GO_Biological_Process_2023	Extracellular Structure Organization (GO:0043062)	17/109	7.331805e-16	3.114240e-13	0	0	1.989998e+01	6.934971e+02	COL15A1;COL16A1;COL14A1;MMP2;COL1A1;SMOC2;ADAMTS2;MMP14;COL3A1;CCDC80;COL1A2;COL4A2;COL5A1;COL4A1;COL5A2;TGFBI;MATN2
GO_Biological_Process_2023	External Encapsulating Structure Organization (GO:0045229)	17/110	8.596935e-16	3.114240e-13	0	0	1.968500e+01	6.828717e+02	COL15A1;COL16A1;COL14A1;MMP2;COL1A1;SMOC2;ADAMTS2;MMP14;COL3A1;CCDC80;COL1A2;COL4A2;COL5A1;COL4A1;COL5A2;TGFBI;MATN2
GO_Biological_Process_2023	Supramolecular Fiber Organization (GO:0097435)	24/316	1.287423e-14	3.730952e-12	0	0	9.110212e+00	2.913769e+02	GSN;COL14A1;LUM;TPM2;DPT;LOXL1;FBLN5;LOXL2;COL1A1;CST3;MFAP4;COL3A1;EFEMP2;ADAMTS2;MARCKS;COL1A2;LOX;COL5A1;COL5A2;SERPINH1;CYP1B1;EMILIN1;MYL9;DDR2
GO_Biological_Process_2023	Negative Regulation Of Peptidase Activity (GO:0010466)	9/60	7.945171e-09	1.918759e-06	0	0	1.824669e+01	3.403136e+02	CST3;ECM1;LRP1;SERPINF1;TIMP2;SERPINH1;SERPING1;TIMP1;CTSB
GO_Biological_Process_2023	Elastic Fiber Assembly (GO:0048251)	4/6	1.432938e-07	2.966182e-05	0	0	2.020204e+02	3.183512e+03	MFAP4;EFEMP2;EMILIN1;FBLN5
GO_Biological_Process_2023	Skeletal System Development (GO:0001501)	11/149	3.149259e-07	5.704096e-05	0	0	8.292386e+00	1.241447e+02	COL1A1;VKORC1;GDF10;MMP14;COL1A2;OGN;CDH11;PRELP;PPIB;FBN1;FGFR1
GO_Biological_Process_2023	Response To Interferon-Alpha (GO:0035455)	5/17	5.337798e-07	7.734469e-05	0	0	4.228205e+01	6.106916e+02	IFITM3;IFITM1;IFITM2;AXL;GAS6
GO_Biological_Process_2023	Extracellular Matrix Assembly (GO:0085029)	5/17	5.337798e-07	7.734469e-05	0	0	4.228205e+01	6.106916e+02	MFAP4;EFEMP2;EMILIN1;GAS6;FBLN5
GO_Biological_Process_2023	Eye Morphogenesis (GO:0048592)	5/19	9.868468e-07	1.299946e-04	0	0	3.623810e+01	5.011276e+02	MFAP5;COL5A1;COL5A2;MFAP2;FBN1
GO_Biological_Process_2023	Regulation Of Extracellular Matrix Organization (GO:1903053)	5/23	2.764328e-06	3.337926e-04	0	0	2.817949e+01	3.606612e+02	EFEMP2;LAMA2;LRP1;NID1;DDR2
GO_Biological_Process_2023	Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068)	7/69	5.748637e-06	5.814113e-04	0	0	1.154655e+01	1.393270e+02	PDGFRB;PDGFRA;F2R;FN1;DCN;DDR2;FGFR1
GO_Biological_Process_2023	Positive Regulation Of Cell Differentiation (GO:0045597)	13/283	5.799595e-06	5.814113e-04	0	0	5.028520e+00	6.063251e+01	IFITM1;LAMA2;RARRES2;NID1;LOXL2;TGFBR2;COL1A1;BMP4;SFRP1;MDK;TMEM119;DDR2;FGFR1
