Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Cell Population Proliferation (GO:0042127)	31/766	2.815923e-11	5.043318e-08	0	0	4.786573e+00	1.162809e+02	ACVRL1;APP;CDKN1A;CD81;GNAI2;EFNB2;CCND2;SERTAD1;KDR;S100A13;IER5;JUNB;JUN;JUND;TGFB1;JUP;LIFR;DYNLL1;SMAD6;CBFA2T3;MEIS2;RHOA;TBX3;MYO1C;MMRN2;CD47;SGK1;PLPP1;CD200;ENG;HSPA1A
GO_Biological_Process_2023	Blood Vessel Morphogenesis (GO:0048514)	10/53	1.019040e-10	9.125504e-08	0	0	2.431155e+01	5.593357e+02	EFNB2;EGFL7;RAMP2;TGFB1;SOX17;SOX18;ID1;KDR;RASIP1;ENG
GO_Biological_Process_2023	Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)	12/96	2.030679e-10	1.212315e-07	0	0	1.506264e+01	3.361603e+02	ACVRL1;ITGB1;CDH5;MEF2C;JUN;TGFB1;HYAL2;PDE2A;ID1;FOS;SMAD6;ENG
GO_Biological_Process_2023	Vasculogenesis (GO:0001570)	8/33	9.358485e-10	4.190262e-07	0	0	3.313257e+01	6.888117e+02	RAMP2;EGFL7;TGFB1;SOX17;SOX18;KDR;RASIP1;ENG
GO_Biological_Process_2023	Negative Regulation Of Macromolecule Metabolic Process (GO:0010605)	14/186	5.428527e-09	1.944498e-06	0	0	8.636266e+00	1.643620e+02	ACVRL1;APP;MEF2C;TGFB1;HSP90AB1;GATA5;GATA2;KLF4;EDNRB;PRKAR1A;KDR;LGALS9;CD34;ENG
GO_Biological_Process_2023	Heart Development (GO:0007507)	13/171	1.719843e-08	5.133731e-06	0	0	8.689227e+00	1.553499e+02	ACVRL1;MEF2C;CDKN1A;RAMP2;TGFB1;GATA5;ECE1;DYNLL1;TBX3;FKBP1A;SOX17;SOX18;TEK
GO_Biological_Process_2023	Negative Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043537)	7/33	2.980431e-08	6.951476e-06	0	0	2.772937e+01	4.805115e+02	MEF2C;TGFB1;JUP;TBXA2R;MMRN2;KLF4;RHOA
GO_Biological_Process_2023	Endothelial Cell Development (GO:0001885)	6/20	3.105070e-08	6.951476e-06	0	0	4.393856e+01	7.595943e+02	PPP1R16B;RAP1B;SOX18;PDE2A;RDX;PECAM1
GO_Biological_Process_2023	Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179)	9/72	3.950889e-08	7.862269e-06	0	0	1.484060e+01	2.529839e+02	ACVRL1;ITGB1;CDH5;JUN;TGFB1;ID1;FOS;SMAD6;ENG
GO_Biological_Process_2023	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	29/938	5.663584e-08	1.014348e-05	0	0	3.545383e+00	5.916047e+01	ACVRL1;APP;EPAS1;CD81;GATA5;LDB2;GATA2;ELK3;SOX17;SOX18;HYAL2;IER5;JUNB;IER2;MEF2C;JUN;JUND;TGFB1;JUP;LMO2;FOS;KLF4;MEIS2;PBX1;KLF2;TBX3;PLSCR1;PTMA;ENG
GO_Biological_Process_2023	Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178)	11/130	7.435258e-08	1.116698e-05	0	0	9.677365e+00	1.588486e+02	ACVRL1;ITGB1;FKBP1A;CDH5;DDX5;JUN;TGFB1;ID1;FOS;SMAD6;ENG
GO_Biological_Process_2023	Regulation Of Cell Migration (GO:0030334)	19/434	7.482065e-08	1.116698e-05	0	0	4.930843e+00	8.090613e+01	ACVRL1;ITGB1;DUSP3;TGFB1;IGFBP5;RDX;LDB2;DYNLL1;RHOA;BST2;CDH5;MYO1C;PODXL;MMRN2;KDR;PECAM1;RAC1;SGK1;ENG
GO_Biological_Process_2023	Regulation Of Angiogenesis (GO:0045765)	13/205	1.464441e-07	1.925632e-05	0	0	7.138133e+00	1.123301e+02	PPP1R16B;ITGB1;RAMP2;SPARC;JUP;ECSCR;HSPB1;GATA2;KLF4;CDH5;KDR;TEK;CD34
GO_Biological_Process_2023	Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	17/364	1.505240e-07	1.925632e-05	0	0	5.236691e+00	8.226393e+01	APP;MEF2C;RAMP2;RAMP3;TGFB1;PDE2A;RDX;GATA5;ECE1;GATA2;KLF4;KLF2;CDH5;PLSCR1;LGALS9;CD34;HSPA1A
GO_Biological_Process_2023	Establishment Of Endothelial Barrier (GO:0061028)	6/28	2.824524e-07	3.372481e-05	0	0	2.794960e+01	4.214731e+02	RAP1B;PPP1R16B;SOX18;PDE2A;RDX;PECAM1
GO_Biological_Process_2023	Positive Regulation Of Angiogenesis (GO:0045766)	10/119	3.149962e-07	3.525989e-05	0	0	9.558759e+00	1.431014e+02	ITGB1;CDH5;RAMP2;JUP;KDR;HSPB1;TEK;GATA2;KLF4;CD34
GO_Biological_Process_2023	Negative Regulation Of Apoptotic Process (GO:0043066)	19/482	3.769548e-07	3.971329e-05	0	0	4.408711e+00	6.520987e+01	ITGB1;MEF2C;PRKCH;PLK2;HSPB1;SMAD6;KLF4;TBX3;SOCS3;CCND2;TCIM;DDAH2;KDR;CD38;FAS;BNIP2;TEK;PTMA;HSPA1A
GO_Biological_Process_2023	Positive Regulation Of Protein Modification Process (GO:0031401)	13/225	4.277713e-07	4.127388e-05	0	0	6.458130e+00	9.470640e+01	PPP1R16B;APP;CDKN1A;TGFB1;DYNLL1;CDH5;CCND2;KDR;PECAM1;FAS;RAC1;TEK;ENG
GO_Biological_Process_2023	Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049)	6/30	4.378580e-07	4.127388e-05	0	0	2.561788e+01	3.750808e+02	TBXA2R;MMRN2;KDR;GATA2;KLF4;RHOA
GO_Biological_Process_2023	Positive Regulation Of Protein Dephosphorylation (GO:0035307)	6/33	7.967037e-07	7.046048e-05	0	0	2.276799e+01	3.197260e+02	PPP1R15A;PPP1R16B;CDH5;HSP90AB1;TGFB1;DYNLL1
GO_Biological_Process_2023	Circulatory System Development (GO:0072359)	10/132	8.261698e-07	7.046048e-05	0	0	8.534565e+00	1.195391e+02	ACVRL1;CDH5;MEF2C;CDKN1A;RAMP2;TGFB1;SOX17;SOX18;ECE1;TEK
GO_Biological_Process_2023	Positive Regulation Of Vasculature Development (GO:1904018)	9/104	9.698559e-07	7.895509e-05	0	0	9.825706e+00	1.360479e+02	ITGB1;CDH5;RAMP2;JUP;KDR;HSPB1;TEK;GATA2;CD34
GO_Biological_Process_2023	Regulation Of Focal Adhesion Assembly (GO:0051893)	7/54	1.035589e-06	8.064085e-05	0	0	1.532336e+01	2.111642e+02	ACVRL1;DUSP3;KDR;RAC1;TEK;DYNLL1;RHOA
GO_Biological_Process_2023	Negative Regulation Of Cell Population Proliferation (GO:0008285)	16/379	1.346268e-06	9.714222e-05	0	0	4.681811e+00	6.328953e+01	ACVRL1;APP;CDKN1A;TGFB1;IGFBP5;GATA2;DYNLL1;SMAD6;CBFA2T3;TBX3;MYO1C;MMRN2;B2M;PLPP1;CD200;HSPA1A
GO_Biological_Process_2023	Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	19/525	1.355977e-06	9.714222e-05	0	0	4.025088e+00	5.438291e+01	ITGB1;APP;RAMP3;TGFB1;HSP90AB1;CD81;CAV2;PLK2;SHISA5;RHOA;BST2;FKBP1A;MYO1C;TCIM;KDR;S100A13;LGALS9;TEK;ENG
GO_Biological_Process_2023	Negative Regulation Of Gene Expression (GO:0010629)	15/336	1.463296e-06	1.007986e-04	0	0	4.947176e+00	6.646442e+01	ACVRL1;SRGN;APP;MEF2C;TGFB1;IGFBP5;GATA5;GATA2;KLF4;PRKAR1A;KDR;LGALS9;CD34;ENG;HSPA1A
GO_Biological_Process_2023	Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189)	9/110	1.557137e-06	1.032901e-04	0	0	9.239187e+00	1.235525e+02	RAMP2;CALCRL;RAMP3;ADGRE5;TBXA2R;GNB1;ADGRF5;GNAS;ADGRL4
GO_Biological_Process_2023	Negative Regulation Of Cellular Process (GO:0048523)	19/537	1.891112e-06	1.209637e-04	0	0	3.929397e+00	5.178295e+01	ACVRL1;APP;CDKN1A;TGFB1;DUSP1;DYNLL1;SMAD6;CBFA2T3;BST2;MYO1C;SOX17;PODXL;CCDC85B;HYAL2;MMRN2;PLPP1;CD200;SIPA1;HSPA1A
GO_Biological_Process_2023	Positive Regulation Of DNA-templated Transcription (GO:0045893)	31/1243	2.046623e-06	1.229455e-04	0	0	2.830126e+00	3.707273e+01	ACVRL1;APP;EPAS1;CD81;GATA5;LDB2;GATA2;ELK3;SOX17;SOX18;HYAL2;CD38;IER5;JUNB;IER2;MEF2C;JUN;JUND;TGFB1;JUP;LMO2;FOS;KLF4;MEIS2;FLI1;PBX1;KLF2;TBX3;PLSCR1;PTMA;ENG
