Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cytoplasmic Translation (GO:0002181)	18/93	1.739319e-18	2.574191e-15	0	0	2.601099e+01	1.063668e+03	RPL4;RPS9;RPL32;RPLP1;RPS5;RPLP0;RPL22;RPL13A;RPL8;RPS15;RPS14;RPS19;RPL37A;RACK1;RPL14;RPS3;RPS11;RPS21
GO_Biological_Process_2023	Macromolecule Biosynthetic Process (GO:0009059)	18/183	3.811996e-13	1.986200e-10	0	0	1.176923e+01	3.365465e+02	RPL4;RPS9;RPL32;RPS5;RPLP1;RPL22;RPLP0;RPL13A;RPL8;RPS15;RPS14;RPS19;RPL37A;RPL14;RPS3;APOE;RPS11;RPS21
GO_Biological_Process_2023	Peptide Biosynthetic Process (GO:0043043)	17/158	4.026080e-13	1.986200e-10	0	0	1.295210e+01	3.696634e+02	RPL4;RPS9;RPL32;RPS5;RPLP1;RPL22;RPLP0;RPL13A;RPL8;RPS15;RPS14;RPS19;RPL37A;RPL14;RPS3;RPS11;RPS21
GO_Biological_Process_2023	Translation (GO:0006412)	19/234	2.600239e-12	9.620884e-10	0	0	9.562251e+00	2.550770e+02	RPL4;RPS9;RPL32;RPLP1;RPS5;RPL22;RPLP0;RPL13A;RPL8;RPS15;RPS14;RPS19;RPL37A;RACK1;RPL14;RPS3;RPS11;RPS21;VARS1
GO_Biological_Process_2023	Gene Expression (GO:0010467)	17/296	7.970005e-09	2.359121e-06	0	0	6.499736e+00	1.212043e+02	RPL4;RPS9;RPL32;RPLP1;RPS5;RPL22;RPLP0;RPL13A;RPL8;RPS15;RPS14;RPS19;RPL37A;RPL14;RPS3;RPS11;RPS21
GO_Biological_Process_2023	Epidermis Development (GO:0008544)	8/85	2.164687e-06	5.339560e-04	0	0	1.067262e+01	1.392055e+02	DSP;SPRR2G;WNT10A;LAMB3;KRT15;EMP1;KRT5;SPRR1A
GO_Biological_Process_2023	Negative Regulation Of Steroid Metabolic Process (GO:0045939)	3/6	1.926952e-05	3.497573e-03	0	0	1.004924e+02	1.091044e+03	UGT1A10;UGT1A8;WNT4
GO_Biological_Process_2023	Ribosomal Small Subunit Assembly (GO:0000028)	4/17	2.085490e-05	3.497573e-03	0	0	3.106279e+01	3.347924e+02	RPS15;RPS14;RPS19;RPS5
GO_Biological_Process_2023	Ribosomal Small Subunit Biogenesis (GO:0042274)	7/84	2.126903e-05	3.497573e-03	0	0	9.290155e+00	9.994590e+01	RPS15;RPS14;RPS9;LSM6;RPS19;RPS5;RPS11
GO_Biological_Process_2023	Hepaticobiliary System Development (GO:0061008)	4/23	7.402942e-05	1.065002e-02	0	0	2.124705e+01	2.020817e+02	UGT1A10;UGT1A9;UGT1A8;WNT4
GO_Biological_Process_2023	Actin-Mediated Cell Contraction (GO:0070252)	3/9	7.915559e-05	1.065002e-02	0	0	5.023858e+01	4.744579e+02	GSN;PDPN;EMP2
GO_Biological_Process_2023	Gland Development (GO:0048732)	6/74	9.765585e-05	1.204422e-02	0	0	8.974530e+00	8.287136e+01	UGT1A10;WNT10A;UGT1A9;UGT1A8;DKK3;WNT4
GO_Biological_Process_2023	Ribosome Assembly (GO:0042255)	5/50	1.398365e-04	1.591985e-02	0	0	1.125641e+01	9.990105e+01	RPS15;RPS14;RPS19;RPS5;RPLP0
GO_Biological_Process_2023	Ribonucleoprotein Complex Biogenesis (GO:0022613)	7/118	1.860624e-04	1.966945e-02	0	0	6.433413e+00	5.525934e+01	RPS15;RPS14;RPS9;RPS19;RPS5;RPL14;RPS11
GO_Biological_Process_2023	Liver Development (GO:0001889)	4/35	3.985581e-04	3.372562e-02	0	0	1.301448e+01	1.018729e+02	UGT1A10;UGT1A9;UGT1A8;WNT4
GO_Biological_Process_2023	Positive Regulation Of Supramolecular Fiber Organization (GO:1902905)	6/96	4.075246e-04	3.372562e-02	0	0	6.773196e+00	5.286757e+01	PYCARD;GSN;CDC42EP5;RPS3;APOE;CLU
GO_Biological_Process_2023	Cellular Glucuronidation (GO:0052695)	3/15	4.101765e-04	3.372562e-02	0	0	2.511168e+01	1.958440e+02	UGT1A10;UGT1A9;UGT1A8
GO_Biological_Process_2023	Glucuronate Metabolic Process (GO:0019585)	3/15	4.101765e-04	3.372562e-02	0	0	2.511168e+01	1.958440e+02	UGT1A10;UGT1A9;UGT1A8
GO_Biological_Process_2023	Skin Development (GO:0043588)	5/68	5.949605e-04	4.402708e-02	0	0	8.032967e+00	5.966097e+01	DSP;SPRR2G;WNT10A;ITGB4;SPRR1A
GO_Biological_Process_2023	Intermediate Filament Organization (GO:0045109)	5/68	5.949605e-04	4.402708e-02	0	0	8.032967e+00	5.966097e+01	DSP;KRT19;KRT15;KRT7;KRT5
GO_Biological_Process_2023	Intracellular Sodium Ion Homeostasis (GO:0006883)	3/18	7.195272e-04	5.070954e-02	0	0	2.008629e+01	1.453628e+02	SLC12A2;SCNN1A;ATP1A1
GO_Biological_Process_2023	protein-RNA Complex Assembly (GO:0022618)	7/150	7.941118e-04	5.230383e-02	0	0	4.985652e+00	3.558901e+01	RPS15;RPS14;RPS19;RPS5;RPLP0;EIF3E;EIF3F
GO_Biological_Process_2023	Positive Regulation Of Activated T Cell Proliferation (GO:0042104)	3/19	8.481702e-04	5.230383e-02	0	0	1.882995e+01	1.331735e+02	PYCARD;IGFBP2;RPS3
GO_Biological_Process_2023	Xenobiotic Catabolic Process (GO:0042178)	3/19	8.481702e-04	5.230383e-02	0	0	1.882995e+01	1.331735e+02	GSTM2;GSTM1;GSTO1
GO_Biological_Process_2023	Ribosome Biogenesis (GO:0042254)	7/155	9.626214e-04	5.419595e-02	0	0	4.815992e+00	3.345116e+01	RPS15;RPS14;RPS9;RPS19;RPS5;RPL14;RPS11
