Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Cell Migration (GO:0030334)	22/434	3.964058e-10	6.612048e-07	0	0	5.882888e+00	1.273562e+02	CLIC4;ROBO4;ANXA1;TGFB1;FLT1;HSPA5;CAV1;SERPINE1;F2R;SEMA4C;RHOC;RHOA;RHOB;BST2;CDH5;SDCBP;LMNA;MMRN2;PECAM1;SGK1;EPHA2;ENG
GO_Biological_Process_2023	Establishment Of Endothelial Barrier (GO:0061028)	7/28	8.320210e-09	6.939056e-06	0	0	3.452182e+01	6.422638e+02	RAP1B;ROBO4;RAP1A;PDE2A;PECAM1;F11R;ICAM1
GO_Biological_Process_2023	Endothelial Cell Development (GO:0001885)	6/20	3.013268e-08	1.675377e-05	0	0	4.416964e+01	7.649147e+02	RAP1B;ROBO4;RAP1A;PDE2A;PECAM1;ICAM1
GO_Biological_Process_2023	Vasculogenesis (GO:0001570)	6/33	7.735809e-07	2.367158e-04	0	0	2.288773e+01	3.220815e+02	RAMP2;EGFL7;TGFB1;CAV1;RASIP1;ENG
GO_Biological_Process_2023	Blood Vessel Morphogenesis (GO:0048514)	7/53	8.787480e-07	2.367158e-04	0	0	1.574004e+01	2.194912e+02	EGFL7;RAMP2;FLT1;TGFB1;CAV1;RASIP1;ENG
GO_Biological_Process_2023	Positive Regulation Of Vasculature Development (GO:1904018)	9/104	9.299689e-07	2.367158e-04	0	0	9.878195e+00	1.371895e+02	CDH5;RAMP2;FLT1;ANXA3;SERPINE1;HSPB1;GATA2;CD34;RHOB
GO_Biological_Process_2023	Regulation Of Angiogenesis (GO:0045765)	12/205	9.934116e-07	2.367158e-04	0	0	6.554906e+00	9.060270e+01	CDH5;RAMP2;SPARC;FLT1;ANXA3;SERPINE1;ECSCR;HSPB1;GATA2;CD34;EPHA2;RHOB
GO_Biological_Process_2023	Ras Protein Signal Transduction (GO:0007265)	10/144	1.751287e-06	3.651434e-04	0	0	7.807240e+00	1.034862e+02	RAP1B;CDKN1A;RAP1A;RALB;ARHGDIA;PLK2;GRAP;RAPGEF5;RHOA;RHOB
GO_Biological_Process_2023	Positive Regulation Of Angiogenesis (GO:0045766)	9/119	2.881909e-06	5.341138e-04	0	0	8.524675e+00	1.087498e+02	CDH5;RAMP2;FLT1;ANXA3;SERPINE1;HSPB1;GATA2;CD34;RHOB
GO_Biological_Process_2023	Regulation Of Endothelial Cell Apoptotic Process (GO:2000351)	6/43	3.921738e-06	6.541459e-04	0	0	1.669341e+01	2.078159e+02	CDH5;RAMP2;SERPINE1;ECSCR;GATA2;ICAM1
GO_Biological_Process_2023	Negative Regulation Of Endothelial Cell Apoptotic Process (GO:2000352)	5/26	5.021557e-06	7.614507e-04	0	0	2.440291e+01	2.977587e+02	CDH5;RAMP2;SERPINE1;GATA2;ICAM1
GO_Biological_Process_2023	Regulation Of Apoptotic Process (GO:0042981)	21/705	7.289590e-06	1.013253e-03	0	0	3.316136e+00	3.922679e+01	ARF4;JUN;ANXA1;TNFRSF12A;HSPA5;PLK2;PLAUR;HSPB1;RHOB;SOCS3;ARHGDIA;MDM2;FAS;BAX;SGK1;PHLDA1;SQSTM1;IER3;ATF4;PHLDA3;BCL2L1
