"","END","IMM","MES","PEC","POD","SMC","TEC"
"END",0.0130223086795436,0.194245645136743,0.045013670442823,0.0130348724498197,0.0466293218509166,0.0122798677116824,0
"IMM",0.00492456881631822,0.888800489742547,0.0540392427534498,0.0417922289730256,0.0482104468809027,0.0400471186575955,0.0309250113754336
"MES",0.0652206638897154,0.249326555710294,0.183519915262838,0.284194909057093,0.237668747576143,0.256539639604105,0.126787945016021
"PEC",0.0734502619043673,0.488986116190782,0.198455572545212,0.196057349751151,0.207511497356511,0.166795695672282,0.15539675914618
"POD",0.0762281188956339,0.482974323115158,0.169995302362377,0.317386903348224,0.134292980145322,0.191722178909205,0.105487219328998
"SMC",0.0495599172792765,0.350988035575675,0.120873170937907,0.173729280277232,0.201233773277117,0.108544370572984,0.109677623193567
"TEC",0.0130856065423299,0.259138036648324,0.0929127192810956,0.155822813351928,0.136824490587621,0.106277361808622,0.190603145226097
