"","END","IMM","MES","PEC","POD","SMC","TEC"
"END",2,4,3,4,2,3,0
"IMM",1,15,5,5,1,3,2
"MES",1,5,0,8,2,2,1
"PEC",4,11,9,18,9,12,6
"POD",2,8,5,14,4,6,2
"SMC",4,14,12,17,6,7,6
"TEC",2,8,7,14,7,9,3
