Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Circulatory System Development (GO:0072359)	14/132	6.164269e-11	9.979951e-08	0	0	1.255458e+01	2.951541e+02	ACVRL1;RAMP2;NOTCH4;HEG1;FN1;ECE1;PCSK5;CRIP1;PDLIM1;CDH5;SOX17;HEY1;GJA5;TEK
GO_Biological_Process_2023	Aortic Valve Morphogenesis (GO:0003180)	8/37	2.616660e-09	1.513938e-06	0	0	2.840661e+01	5.613534e+02	DLL4;EFNA1;JAG1;HEY1;NOS3;ELN;EMILIN1;SMAD6
GO_Biological_Process_2023	Regulation Of Cell Migration (GO:0030334)	21/434	2.805320e-09	1.513938e-06	0	0	5.507149e+00	1.084454e+02	ACVRL1;EDN1;ACE;JAG1;APLP2;CAV1;FAM107A;SEMA3G;ADAM10;CLDN5;CDH5;ADAM15;PODXL;PDGFD;TMSB4X;GPER1;MMRN2;PECAM1;CDH13;EMILIN1;ENG
GO_Biological_Process_2023	Aortic Valve Development (GO:0003176)	8/40	5.080186e-09	2.056205e-06	0	0	2.573958e+01	4.915725e+02	DLL4;EFNA1;JAG1;HEY1;NOS3;ELN;EMILIN1;SMAD6
GO_Biological_Process_2023	Regulation Of Cell Population Proliferation (GO:0042127)	27/766	1.309806e-08	4.203952e-06	0	0	4.025491e+00	7.306590e+01	ACVRL1;CD81;ELN;DLL4;CCND2;PDGFD;GPER1;S100A13;TSPO;EMILIN1;JAG2;EDN1;JAG1;NOS3;IGFBP3;FN1;VEGFC;ADAM10;EMP2;SMAD6;BMP6;CLDN5;MMRN2;CDH13;PLPP1;CD200;ENG
GO_Biological_Process_2023	Heart Trabecula Morphogenesis (GO:0061384)	6/18	1.557981e-08	4.203952e-06	0	0	5.100000e+01	9.168418e+02	DLL4;FKBP1A;HEY1;S1PR1;TEK;ENG
GO_Biological_Process_2023	Negative Regulation Of Cellular Process (GO:0048523)	22/537	2.370133e-08	5.481780e-06	0	0	4.628232e+00	8.126126e+01	ACVRL1;NOS3;APLP2;IGFBP3;NOTCH4;WFDC1;ADAM10;SMAD6;DLL4;SOX17;ADAM15;PODXL;HYAL2;GPER1;MMRN2;TXNIP;TMEM109;CDH13;EMILIN1;PLPP1;CD200;JAM2
GO_Biological_Process_2023	Heart Development (GO:0007507)	12/171	1.576310e-07	3.190058e-05	0	0	7.884785e+00	1.234995e+02	ACVRL1;PDLIM1;FKBP1A;RAMP2;SOX17;GJA5;HEG1;FN1;ECE1;TEK;PCSK5;CRIP1
GO_Biological_Process_2023	Maintenance Of Blood-Brain Barrier (GO:0035633)	6/29	3.637619e-07	6.543673e-05	0	0	2.659390e+01	3.943016e+02	CDH5;CLDN5;PECAM1;ESAM;F11R;JAM2
GO_Biological_Process_2023	Regulation Of Notch Signaling Pathway (GO:0008593)	8/70	4.826066e-07	7.813400e-05	0	0	1.326478e+01	1.929239e+02	DLL4;JAG2;EGFL7;JAG1;HEY1;NOS3;MFNG;GATA2
GO_Biological_Process_2023	Pulmonary Valve Morphogenesis (GO:0003184)	5/18	7.330903e-07	1.078976e-04	0	0	3.902761e+01	5.513040e+02	JAG1;HEY1;NOS3;GJA5;SMAD6
GO_Biological_Process_2023	Vasculogenesis (GO:0001570)	6/33	8.203902e-07	1.106843e-04	0	0	2.264948e+01	3.173982e+02	RAMP2;EGFL7;SOX17;CAV1;RASIP1;ENG
GO_Biological_Process_2023	Blood Vessel Morphogenesis (GO:0048514)	7/53	9.400159e-07	1.170681e-04	0	0	1.557535e+01	2.161449e+02	EGFL7;RAMP2;SOX17;GJA5;CAV1;RASIP1;ENG
GO_Biological_Process_2023	Regulation Of Angiogenesis (GO:0045765)	12/205	1.104734e-06	1.277546e-04	0	0	6.484511e+00	8.894095e+01	CLDN5;CDH5;RAMP2;SPARC;NOS3;SERPINF1;ECSCR;VEGFC;EMP2;EMILIN1;TEK;GATA2
