Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),29/176,4.5890511595238526e-27,6.649535130150063e-24,0,0,22.673230695787087,1375.043565408534,COL15A1;COL16A1;COL14A1;DPT;NID1;LOXL1;LOXL2;ADAMTS2;CTSK;SERPINH1;CYP1B1;GSN;LUM;MMP2;COL1A1;SMOC2;MMP14;COL3A1;CCDC80;COL1A2;COL4A2;LOX;COL5A1;COL4A1;COL5A2;TGFBI;GAS6;DDR2;MATN2
GO_Biological_Process_2023,Collagen Fibril Organization (GO:0030199),15/42,4.572121990161697e-20,3.3125023818721505e-17,0,0,59.37837837837838,2644.221583182293,COL14A1;LUM;DPT;LOXL1;LOXL2;COL1A1;ADAMTS2;COL3A1;COL1A2;COL5A1;LOX;COL5A2;SERPINH1;CYP1B1;DDR2
GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),17/109,7.331804791025673e-16,3.1142398467447773e-13,0,0,19.899976241387503,693.4970537051005,COL15A1;COL16A1;COL14A1;MMP2;COL1A1;SMOC2;ADAMTS2;MMP14;COL3A1;CCDC80;COL1A2;COL4A2;COL5A1;COL4A1;COL5A2;TGFBI;MATN2
GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),17/110,8.596935394740586e-16,3.1142398467447773e-13,0,0,19.68499911863212,682.8717473326744,COL15A1;COL16A1;COL14A1;MMP2;COL1A1;SMOC2;ADAMTS2;MMP14;COL3A1;CCDC80;COL1A2;COL4A2;COL5A1;COL4A1;COL5A2;TGFBI;MATN2
GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),24/316,1.2874228846014857e-14,3.730951519575105e-12,0,0,9.110211706102117,291.37690109596366,GSN;COL14A1;LUM;TPM2;DPT;LOXL1;FBLN5;LOXL2;COL1A1;CST3;MFAP4;COL3A1;EFEMP2;ADAMTS2;MARCKS;COL1A2;LOX;COL5A1;COL5A2;SERPINH1;CYP1B1;EMILIN1;MYL9;DDR2
GO_Biological_Process_2023,Negative Regulation Of Peptidase Activity (GO:0010466),9/60,7.945171236241085e-09,1.918758853552222e-06,0,0,18.24668925161688,340.3135543120675,CST3;ECM1;LRP1;SERPINF1;TIMP2;SERPINH1;SERPING1;TIMP1;CTSB
GO_Biological_Process_2023,Elastic Fiber Assembly (GO:0048251),4/6,1.4329382790286753e-07,2.966182237589358e-05,0,0,202.0204081632653,3183.512051346897,MFAP4;EFEMP2;EMILIN1;FBLN5
GO_Biological_Process_2023,Skeletal System Development (GO:0001501),11/149,3.1492594410393177e-07,5.704096162582464e-05,0,0,8.292385553255118,124.14470975145704,COL1A1;VKORC1;GDF10;MMP14;COL1A2;OGN;CDH11;PRELP;PPIB;FBN1;FGFR1
GO_Biological_Process_2023,Response To Interferon-Alpha (GO:0035455),5/17,5.33779780081584e-07,7.734469013382152e-05,0,0,42.282051282051285,610.6916104961218,IFITM3;IFITM1;IFITM2;AXL;GAS6
GO_Biological_Process_2023,Extracellular Matrix Assembly (GO:0085029),5/17,5.33779780081584e-07,7.734469013382152e-05,0,0,42.282051282051285,610.6916104961218,MFAP4;EFEMP2;EMILIN1;GAS6;FBLN5
GO_Biological_Process_2023,Eye Morphogenesis (GO:0048592),5/19,9.868467811626748e-07,0.00012999463508224689,0,0,36.23809523809524,501.127597446276,MFAP5;COL5A1;COL5A2;MFAP2;FBN1
GO_Biological_Process_2023,Regulation Of Extracellular Matrix Organization (GO:1903053),5/23,2.7643280226436368e-06,0.00033379260873421914,0,0,28.17948717948718,360.6611683989916,EFEMP2;LAMA2;LRP1;NID1;DDR2
GO_Biological_Process_2023,Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068),7/69,5.748636941791376e-06,0.0005814112743172353,0,0,11.546548554237004,139.32697987988573,PDGFRB;PDGFRA;F2R;FN1;DCN;DDR2;FGFR1
GO_Biological_Process_2023,Positive Regulation Of Cell Differentiation (GO:0045597),13/283,5.799594520881497e-06,0.0005814112743172353,0,0,5.028520499108734,60.63250503057048,IFITM1;LAMA2;RARRES2;NID1;LOXL2;TGFBR2;COL1A1;BMP4;SFRP1;MDK;TMEM119;DDR2;FGFR1
GO_Biological_Process_2023,Regulation Of Fibroblast Proliferation (GO:0048145),6/46,6.227505516050632e-06,0.0005814112743172353,0,0,15.278350515463918,183.1344786743041,PDGFRA;SFRP1;FTH1;FN1;GAS6;DDR2
GO_Biological_Process_2023,Regulation Of Peptidase Activity (GO:0052547),5/27,6.420000268513295e-06,0.0005814112743172353,0,0,23.05128205128205,275.60325810758144,CST3;ECM1;CTSL;CTSK;CTSB
GO_Biological_Process_2023,Aorta Development (GO:0035904),4/14,8.98018633910456e-06,0.0007654288238448534,0,0,40.38775510204081,469.325501273126,PDGFRB;EFEMP2;LRP1;TGFBR2
GO_Biological_Process_2023,Endodermal Cell Differentiation (GO:0035987),5/31,1.3080212433165224e-05,0.0010529571008698,0,0,19.500986193293887,219.27708359619595,MMP14;COL4A2;MMP2;COL6A1;FN1
GO_Biological_Process_2023,Regulation Of Metallopeptidase Activity (GO:1905048),3/6,1.9269523068842994e-05,0.0013960769463376,0,0,100.49238578680205,1091.0444080855816,LRP1;TIMP2;TIMP1
GO_Biological_Process_2023,Bleb Assembly (GO:0032060),3/6,1.9269523068842994e-05,0.0013960769463376,0,0,100.49238578680205,1091.0444080855816,PMP22;EMP1;EMP3
