Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),23/60,4.100262125801526e-31,4.05515924241771e-28,0,0,69.80528255528256,4884.211886636279,NDUFB9;ATP5PF;NDUFA13;ATP5PD;NDUFA6;NDUFB10;NDUFA5;NDUFB5;ATP5PB;NDUFA3;NDUFA2;NDUFA1;ATP5MC3;NDUFC1;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1B;ATP5PO;ATP5MK;ATP5MJ;ATP5MF
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),25/85,2.439693538523463e-30,1.2064284547998524e-27,0,0,47.27250957854406,3223.3082278133293,NDUFB9;COX7B;NDUFA13;NDUFB10;NDUFB5;COX4I1;COX7A2;UQCR11;UQCR10;COX6A1;COX5A;UQCRH;UQCRFS1;CYC1;PPARGC1A;COX8A;NDUFA6;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6C;COX6B1;UQCRQ
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),23/68,1.314071955100617e-29,4.3320572119817004e-27,0,0,57.37222222222222,3815.3581715777455,COX8A;NDUFB9;COX7B;NDUFA6;NDUFB10;NDUFA5;NDUFB5;COX4I1;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX7A2;UQCR11;UQCR10;COX6A1;COX6C;COX5A;UQCRH;COX6B1;UQCRQ;UQCRFS1;CYC1
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),23/70,2.8863985001540776e-29,7.136620291630957e-27,0,0,54.92529013539652,3609.413143479179,COX8A;NDUFB9;COX7B;NDUFA6;NDUFB10;NDUFA5;NDUFB5;COX4I1;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX7A2;UQCR11;UQCR10;COX6A1;COX6C;COX5A;UQCRH;COX6B1;UQCRQ;UQCRFS1;CYC1
GO_Biological_Process_2023,Oxidative Phosphorylation (GO:0006119),21/63,5.8683913002260584e-27,1.1607677991847144e-24,0,0,55.502808988764045,3352.3817053122534,NDUFB9;ATP5PF;NDUFA13;ATP5PD;NDUFA6;NDUFB10;NDUFA5;NDUFB5;ATP5PB;NDUFA3;NDUFA2;NDUFA1;CHCHD10;NDUFC1;ATP5F1C;ATP5F1D;UQCRH;ATP5F1E;ATP5F1B;ATP5PO;ATP5MF
GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),19/53,3.350190104613681e-25,5.522230022438218e-23,0,0,61.36813725490196,3458.4388238611746,NDUFB9;ATP5PF;NDUFA13;ATP5PD;NDUFA6;NDUFB10;NDUFA5;NDUFB5;ATP5PB;NDUFA3;NDUFA2;NDUFA1;NDUFC1;ATP5F1C;ATP5F1D;ATP5F1E;ATP5F1B;ATP5PO;ATP5MF
GO_Biological_Process_2023,Proton Transmembrane Transport (GO:1902600),17/49,2.2533694632785614e-22,2.934089948962996e-20,0,0,57.70484203296704,2876.2658486401806,ATP6V1A;ATP6V0B;RNASEK;ATP6AP1;ATP6AP2;ATP1A1;ATP1B1;ATP5F1B;ATP5PO;ATP6V1H;ATP6V0A4;ATP6V1E1;ATP6V0C;ATP6V1D;ATP5MF;ATP6V1B1;ATP6V1F
GO_Biological_Process_2023,ATP Biosynthetic Process (GO:0006754),14/25,2.3733791295959526e-22,2.934089948962996e-20,0,0,136.14742014742015,6779.128220724027,ATP5PF;ATP5PD;ATP5PB;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1A;ATP5F1B;ATP5PO;ATP5MK;ATP5MJ;ATP5MF
GO_Biological_Process_2023,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),15/43,6.447106043021733e-20,7.084653196164994e-18,0,0,57.56890527950311,2543.858845401244,COX8A;COX7B;COX4I1;COX7A2;UQCR11;UQCR10;COX6A1;COX6C;COX5A;UQCRH;COX6B1;UQCRQ;ADGRF5;CYC1;PPARGC1A
GO_Biological_Process_2023,Vacuolar Acidification (GO:0007035),12/29,3.0144972998483455e-17,2.981337829550014e-15,0,0,74.68008807801195,2840.8688985390286,ATP6V1A;ATP6V0B;RNASEK;DMXL1;ATP6AP2;ATP6V1H;ATP6V0A4;ATP6V1D;ATP6V0C;ATP6V0D2;ATP6V1F;ATP6V1B1
GO_Biological_Process_2023,Intracellular pH Reduction (GO:0051452),12/32,1.2779523388632606e-16,1.1489953301234224e-14,0,0,63.46844919786096,2322.6978676756607,ATP6V1A;ATP6V0B;RNASEK;DMXL1;ATP6AP2;ATP6V1H;ATP6V0A4;ATP6V1D;ATP6V0C;ATP6V0D2;ATP6V1F;ATP6V1B1
GO_Biological_Process_2023,Golgi Lumen Acidification (GO:0061795),8/9,7.440305294545446e-16,6.132051613587872e-14,0,0,829.3193717277487,28888.88386147152,ATP6V1A;ATP6V0B;RNASEK;ATP6AP2;ATP6V1H;ATP6V0C;ATP6V1D;ATP6V1F
GO_Biological_Process_2023,Inorganic Cation Transmembrane Transport (GO:0098662),23/284,1.076801318549854e-14,8.19197310804466e-13,0,0,9.783611981887844,314.6624500384247,ATP6V1A;ATP6V0B;RNASEK;ATP6AP1;ATP6AP2;ATP1A1;ATP1B1;ATP5F1B;KCNQ1;SCNN1B;SCNN1A;ATP5PO;ATP6V1H;ATP6V0A4;ITGAV;ATP6V1E1;RHCG;ATP6V0C;RHBG;ATP6V1D;ATP5MF;ATP6V1F;ATP6V1B1
GO_Biological_Process_2023,Endosomal Lumen Acidification (GO:0048388),8/11,1.34111151202435e-14,9.473994895657728e-13,0,0,276.41186736474697,8829.339295077367,ATP6V1A;ATP6V0B;RNASEK;ATP6AP2;ATP6V1H;ATP6V0C;ATP6V1D;ATP6V1F
GO_Biological_Process_2023,Aerobic Respiration (GO:0009060),13/59,1.710267047874956e-14,1.1276360735655545e-12,0,0,30.01577840112202,951.4864213429288,NDUFB9;NDUFA13;NDUFA6;NDUFB10;NDUFA5;NDUFB5;NDUFA3;NDUFA2;NDUFA1;CHCHD10;NDUFC1;ATP5F1D;UQCRH
GO_Biological_Process_2023,Monoatomic Cation Transmembrane Transport (GO:0098655),21/281,7.897547086761053e-13,4.881671293004176e-11,0,0,8.866918755401901,247.0949037084177,ATP6V1A;ATP6V0B;RNASEK;ATP6AP1;ATP6AP2;ATP1A1;ATP1B1;ATP5F1B;KCNQ1;SCNN1B;SCNN1A;ATP5PO;ATP6V1H;ATP6V0A4;ITGAV;ATP6V1E1;ATP6V0C;ATP6V1D;ATP5MF;ATP6V1F;ATP6V1B1
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",8/16,1.002533076664369e-12,5.83238360482977e-11,0,0,103.6282722513089,2863.092812328759,COX8A;COX7B;COX4I1;COX7A2;COX6A1;COX6C;COX5A;COX6B1
GO_Biological_Process_2023,Lysosomal Lumen Acidification (GO:0007042),8/18,3.3510985848121385e-12,1.841242500210669e-10,0,0,82.89424083769633,2190.2094893742774,ATP6V1A;ATP6V0B;RNASEK;ATP6AP2;ATP6V1H;ATP6V0C;ATP6V1D;ATP6V1F
GO_Biological_Process_2023,Regulation Of Lysosomal Lumen pH (GO:0035751),8/25,7.803915809206457e-11,4.0621435448974674e-09,0,0,48.74407145056976,1134.4602764987396,ATP6V1A;ATP6V0B;RNASEK;ATP6AP2;ATP6V1H;ATP6V1D;ATP6V0C;ATP6V1F
GO_Biological_Process_2023,NADH Dehydrogenase Complex Assembly (GO:0010257),10/53,1.0190401414886672e-10,4.799193809201389e-09,0,0,24.31155407899594,559.335676315361,NDUFB9;NDUFA13;NDUFA6;NDUFB10;NDUFA5;NDUFB5;NDUFA3;NDUFA2;NDUFA1;NDUFC1
