Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),31/766,2.8159228026122616e-11,5.043317739478561e-08,0,0,4.786572724327827,116.2809100262548,ACVRL1;APP;CDKN1A;CD81;GNAI2;EFNB2;CCND2;SERTAD1;KDR;S100A13;IER5;JUNB;JUN;JUND;TGFB1;JUP;LIFR;DYNLL1;SMAD6;CBFA2T3;MEIS2;RHOA;TBX3;MYO1C;MMRN2;CD47;SGK1;PLPP1;CD200;ENG;HSPA1A
GO_Biological_Process_2023,Blood Vessel Morphogenesis (GO:0048514),10/53,1.0190401414886672e-10,9.125504467031014e-08,0,0,24.31155407899594,559.335676315361,EFNB2;EGFL7;RAMP2;TGFB1;SOX17;SOX18;ID1;KDR;RASIP1;ENG
GO_Biological_Process_2023,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),12/96,2.0306788130846655e-10,1.2123152514115458e-07,0,0,15.062643239113829,336.1602513178157,ACVRL1;ITGB1;CDH5;MEF2C;JUN;TGFB1;HYAL2;PDE2A;ID1;FOS;SMAD6;ENG
GO_Biological_Process_2023,Vasculogenesis (GO:0001570),8/33,9.35848520825814e-10,4.190261751997582e-07,0,0,33.13256544502618,688.8117054121094,RAMP2;EGFL7;TGFB1;SOX17;SOX18;KDR;RASIP1;ENG
GO_Biological_Process_2023,Negative Regulation Of Macromolecule Metabolic Process (GO:0010605),14/186,5.4285266232273e-09,1.944498236440019e-06,0,0,8.636266499057196,164.3619529211812,ACVRL1;APP;MEF2C;TGFB1;HSP90AB1;GATA5;GATA2;KLF4;EDNRB;PRKAR1A;KDR;LGALS9;CD34;ENG
GO_Biological_Process_2023,Heart Development (GO:0007507),13/171,1.7198428328214504e-08,5.13373085597203e-06,0,0,8.689226895331428,155.34988976222476,ACVRL1;MEF2C;CDKN1A;RAMP2;TGFB1;GATA5;ECE1;DYNLL1;TBX3;FKBP1A;SOX17;SOX18;TEK
GO_Biological_Process_2023,Negative Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043537),7/33,2.9804307591642053e-08,6.951476108381663e-06,0,0,27.729366987179485,480.5114665889736,MEF2C;TGFB1;JUP;TBXA2R;MMRN2;KLF4;RHOA
GO_Biological_Process_2023,Endothelial Cell Development (GO:0001885),6/20,3.105070288501022e-08,6.951476108381663e-06,0,0,43.93856402664693,759.5942699713075,PPP1R16B;RAP1B;SOX18;PDE2A;RDX;PECAM1
GO_Biological_Process_2023,Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),9/72,3.95088894831951e-08,7.862269007155825e-06,0,0,14.840601503759398,252.98387735813347,ACVRL1;ITGB1;CDH5;JUN;TGFB1;ID1;FOS;SMAD6;ENG
GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),29/938,5.66358445236903e-08,1.0143479754192932e-05,0,0,3.545382773571475,59.16046841611762,ACVRL1;APP;EPAS1;CD81;GATA5;LDB2;GATA2;ELK3;SOX17;SOX18;HYAL2;IER5;JUNB;IER2;MEF2C;JUN;JUND;TGFB1;JUP;LMO2;FOS;KLF4;MEIS2;PBX1;KLF2;TBX3;PLSCR1;PTMA;ENG
