Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),19/434,6.90358862123405e-08,0.00011245945863990268,0,0,4.958645756209195,81.76132167497946,ITGB1;ANXA1;TGFB1;SERPINE2;IGFBP5;F2R;PRKCA;ACTN4;MYLK;BMP2;SFRP2;TMSB4X;FLNA;EMILIN1;AMOTL1;TMSB10;FERMT2;VCL;ENG
GO_Biological_Process_2023,Positive Regulation Of Neuron Projection Development (GO:0010976),9/92,3.2566676648169297e-07,0.0002652555812993389,0,0,11.313253012048191,168.99048561307973,SCARB2;NPTN;ATP1B2;PTN;APOE;CAMK1;SERPINI1;SCN1B;DBN1
GO_Biological_Process_2023,Negative Regulation Of Peptidase Activity (GO:0010466),7/60,2.0766582008884422e-06,0.0010306842893357,0,0,13.656327175738417,178.689635076259,CST3;ECM1;SERPINE2;LRP1;TIMP2;SERPING1;SERPINI1
GO_Biological_Process_2023,Positive Regulation Of Wound Healing (GO:0090303),6/40,2.5308392617206704e-06,0.0010306842893357,0,0,18.169117647058822,234.14468483515665,ITGB1;ANXA1;F2R;EMILIN1;FERMT2;MYLK
GO_Biological_Process_2023,Regulation Of Neuron Projection Development (GO:0010975),10/174,9.512941419430638e-06,0.0030993163144505,0,0,6.369356512714063,73.64796128823336,SCARB2;RTN4RL1;NPTN;ATP1B2;APOE;SERPINI1;PTN;CAMK1;SCN1B;DBN1
GO_Biological_Process_2023,Response To Interferon-Alpha (GO:0035455),4/17,2.004791091349473e-05,0.0039098835888042,0,0,31.38620142743854,339.51664346912577,IFITM3;IFITM2;AXL;GATA3
GO_Biological_Process_2023,Positive Regulation Of Glial Cell Differentiation (GO:0045687),4/17,2.004791091349473e-05,0.0039098835888042,0,0,31.38620142743854,339.51664346912577,BMP2;TGFB1;SERPINE2;PTN
GO_Biological_Process_2023,Positive Regulation Of Cell Projection Organization (GO:0031346),8/118,2.3115467071039253e-05,0.0039098835888042,0,0,7.537607655502392,80.46402650312865,SCARB2;NPTN;ATP1B2;APOE;SERPINI1;PTN;CAMK1;SCN1B
GO_Biological_Process_2023,Positive Regulation Of Response To External Stimulus (GO:0032103),9/155,2.4653048057319144e-05,0.0039098835888042,0,0,6.410958904109589,68.02418473240843,LGALS1;TGFB1;CAMK2N1;RARRES2;PRKCA;EMILIN1;PTN;ETS1;GPSM3
GO_Biological_Process_2023,Negative Regulation Of Cellular Process (GO:0048523),17/537,2.636886803075672e-05,0.0039098835888042,0,0,3.4827241818954526,36.71949810666116,TGFB1;SUSD2;F2R;FHL1;P3H3;GATA3;NGF;ETS1;ACTB;HOPX;BMP2;SFRP2;FTH1;IGFBP7;EMILIN1;CCN2;TNS2
GO_Biological_Process_2023,Regulation Of Endothelial Cell Migration (GO:0010594),7/88,2.7027255979773095e-05,0.0039098835888042,0,0,8.9229526210329,93.8575469367544,SPARC;PRKCA;GATA3;PTN;APOE;NR2F2;ETS1
GO_Biological_Process_2023,Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060393),6/61,3.081012884424478e-05,0.0039098835888042,0,0,11.219886363636364,116.5484440353936,GDF10;BMP2;TGFB1;LRP1;EMILIN1;ENG
GO_Biological_Process_2023,Regulation Of Cell Motility (GO:2000145),8/123,3.120226313962882e-05,0.0039098835888042,0,0,7.208054919908466,74.7837134451999,CADM4;TGFB1;SERPINE2;TMSB4X;FLNA;GATA3;AMOTL1;TMSB10
GO_Biological_Process_2023,Regulation Of Endothelial Cell Proliferation (GO:0001936),7/93,3.8688492328180576e-05,0.0045016824287575,0,0,8.402045537562401,85.36451680418072,ECM1;BMP2;SPARC;PRKCA;VEGFD;APOE;NR2F2
GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),9/176,6.663021931774454e-05,0.0058621146027035,0,0,5.598802395209581,53.84005651335625,ADAMTS5;CCDC80;TGFB1;COL4A2;COL4A1;MMP2;COL12A1;COL8A1;NID1
GO_Biological_Process_2023,Negative Regulation Of Epithelial Cell Proliferation (GO:0050680),6/70,6.758029543714595e-05,0.0058621146027035,0,0,9.6376953125,92.54302111568866,SPARC;SFRP2;TGFB1;GATA3;APOE;NR2F2
GO_Biological_Process_2023,Positive Regulation Of Signal Transduction (GO:0009967),11/266,7.256459120755965e-05,0.0058621146027035,0,0,4.509111880046136,42.97649629163706,ENHO;CD63;BMP2;TGFB1;AXL;NPTN;FLNA;PRKCA;GATA3;PIK3R1;NID1
GO_Biological_Process_2023,Negative Regulation Of Signal Transduction (GO:0009968),11/267,7.50378989083797e-05,0.0058621146027035,0,0,4.491268382352941,42.655898950508494,RGS2;BMP2;SFRP2;CADM4;IGFBP5;LRP1;YWHAB;GPC3;EMILIN1;GATA3;TNS2
GO_Biological_Process_2023,Negative Regulation Of Extracellular Matrix Organization (GO:1903054),3/9,7.682757782274273e-05,0.0058621146027035,0,0,50.75897435897436,480.8878275740263,CST3;TGFB1;EMILIN1
GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),12/316,7.738326733849677e-05,0.0058621146027035,0,0,4.137945670628183,39.17285573588074,CST3;CNN2;MARCKS;MYO1B;DES;TPM4;TPM2;COL12A1;TAGLN2;EMILIN1;MYL9;DBN1
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),20/766,7.773025182702262e-05,0.0058621146027035,0,0,2.870138867969997,27.15801752601463,CADM4;TGFB1;CD81;F2R;VEGFD;P3H3;GATA3;PTN;NGF;ETS1;ACTB;GNAI2;BMP2;SFRP2;FTH1;IGFBP7;EMILIN1;S1PR3;TNS2;ENG
GO_Biological_Process_2023,Positive Regulation Of Vasculature Development (GO:1904018),7/104,7.916913521146556e-05,0.0058621146027035,0,0,7.445080153289793,70.31077145445897,ITGB1;ECM1;SFRP2;PRKCA;EMILIN1;VEGFD;ETS1
GO_Biological_Process_2023,Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536),5/46,8.912253281555649e-05,0.00631220025898,0,0,12.48641476052066,116.44204039532522,ANXA1;TGFB1;TMSB4X;PRKCA;ETS1
