source,target,ligand_complex,receptor_complex,magnitude_rank_ctrl,magnitude_rank_neph,delta_rank_ctrl_minus_neph
SMC,PEC,Mdk,Notch2,0.7188462190970922,0.7257961540030089,-0.006949934905916666
MES,PEC,Gpc3,Lrp1,0.4013262173728974,0.4089384138686228,-0.007612196495725365
TEC,PEC,Ptn,Sdc4,0.4152922423470511,0.4248921138512463,-0.009599871504195223
SMC,PEC,Apoe,Lrp1,0.9897291553673275,1.0,-0.010270844632672471
PEC,SMC,Edn1,Ednrb,0.9775784693364862,0.9884864569206846,-0.01090798758419842
END,PEC,Ltbp1,Itgb5,0.9843965113723168,1.0,-0.015603488627683237
TEC,PEC,Egf,Cav1,0.1866474921521465,0.2097730741875055,-0.023125582035359
PEC,TEC,Plau,Itgb5,0.425258826706931,0.4489708942916322,-0.023712067584701235
SMC,PEC,Gpc3,Flt1,0.8065802559377568,0.833263630789844,-0.02668337485208716
TEC,PEC,Gpc3,Flt1,0.13516118182831044,0.16284048700035497,-0.027679305172044533
PEC,SMC,Jag1,Notch2,0.6117619094377736,0.64033339440836,-0.02857148497058637
PEC,SMC,Adm,Ackr3,0.9653789200693103,1.0,-0.03462107993068975
PEC,MES,Serping1,Lrp1,0.6624625778158493,0.7026648739816967,-0.04020229616584747
PEC,SMC,Col4a5,Sdc1,0.5371780585092679,0.5778138478403876,-0.040635789331119665
PEC,POD,Ptn,Sdc4,0.16287127121326467,0.2051841918246518,-0.04231292061138714
PEC,MES,Cxcl12,Sdc4,0.6730191263418942,0.7167512315928125,-0.04373210525091831
PEC,SMC,Plau,Lrp1,0.43392747743954,0.4791597645612589,-0.045232287121718895
PEC,PEC,Gas6,Axl,0.6442069194804834,0.6916658031031478,-0.04745888362266448
END,PEC,Adm,Calcrl,0.9521102897462308,1.0,-0.0478897102537692
POD,PEC,Ptn,Sdc4,0.4353836073773915,0.4839925635672877,-0.04860895618989619
MES,PEC,Col1a2,Itga2b,0.48528323371361703,0.5416614987302919,-0.05637826501667487
PEC,POD,Pam,Dpp4,0.027461255146394723,0.08739969210694003,-0.05993843696054531
POD,PEC,Thbs1,Sdc4,0.4295785748140193,0.48965330945540453,-0.06007473464138524
IMM,PEC,Apoc2,Lrp1,0.7498267661572371,0.813318020633631,-0.06349125447639392
IMM,PEC,Ptn,Sdc4,0.40966759882790116,0.4783559986774777,-0.06868839984957653
PEC,TEC,Jag1,Notch2,0.7066969763939818,0.7773384640124892,-0.07064148761850741
SMC,PEC,Mdk,Lrp1,0.9277608612098246,1.0,-0.0722391387901754
TEC,PEC,Plau,Plaur,0.8549224685101608,0.9405844614152072,-0.08566199290504639
SMC,PEC,Serpine1,Plaur,0.7540235440689218,0.8431219534686587,-0.0890984093997369
MES,PEC,Plau,Plaur,0.7667077765648898,0.8586768981253244,-0.09196912156043469
IMM,PEC,Gas6,Axl,0.9036446877188264,1.0,-0.09635531228117356
PEC,POD,Vegfa,Sirpa,0.568787884005698,0.6656127342173224,-0.09682485021162435
PEC,SMC,Col4a4,Sdc1,0.5304982074266682,0.6281476383634631,-0.0976494309367949
POD,PEC,Adm,Calcrl,0.6602308415983394,0.7601791747077079,-0.09994833310936846
PEC,SMC,Icam1,Cav1,0.7859996046612461,0.8885738162340503,-0.10257421157280422
SMC,PEC,Gpc3,Lrp1,0.8953203295741554,1.0,-0.10467967042584458
SMC,PEC,Serping1,Lrp1,0.44418884637468126,0.5512785383822624,-0.10708969200758112
POD,PEC,Calca,Pth1r,0.8911498994967331,1.0,-0.10885010050326693
IMM,PEC,Cxcl10,Dpp4,0.464619084485754,0.5763964338918214,-0.11177734940606737
PEC,MES,Col4a5,Sdc1,0.4805970593547444,0.5937604260265494,-0.11316336667180504
PEC,END,Adm,Calcrl,0.7773859954075142,0.8947841190554364,-0.11739812364792224
PEC,MES,Gas6,Axl,0.19350166474600014,0.3137714021052905,-0.12026973735929034
PEC,IMM,Gas6,Axl,0.6366650693116598,0.7593279898248195,-0.12266292051315975
TEC,PEC,Gpc3,Lrp1,0.22631586382098184,0.351119436979409,-0.12480357315842716
PEC,TEC,Adm,Calcrl,0.8744130877491119,1.0,-0.12558691225088814
PEC,SMC,Edn1,Ednra,0.5731687962879776,0.7142975628877852,-0.14112876659980766
PEC,POD,Csf1,Csf2ra,0.6180682822650051,0.7610312104250143,-0.14296292816000922
PEC,SMC,Hspg2,Sdc1,0.501123660137664,0.6455532549740453,-0.1444295948363813
PEC,MES,Csf1,Sirpa,0.8533678449591722,1.0,-0.14663215504082783
IMM,PEC,Ccl5,Ccrl2,0.8526386185592869,1.0,-0.1473613814407131
PEC,SMC,Cxcl12,Itga4,0.8526386185592869,1.0,-0.1473613814407131
TEC,PEC,Apoe,Lrp1,0.8449109521031064,1.0,-0.1550890478968936
IMM,PEC,Apoe,Lrp1,0.4667197388149703,0.6244056765803347,-0.15768593776536444
PEC,IMM,Tgm2,Itga4,0.5473026069181852,0.7072524989371674,-0.15994989201898213
TEC,PEC,Adm,Ramp3,0.8279306991085817,1.0,-0.17206930089141825
POD,PEC,Calca,Calcrl,0.8255486937917668,1.0,-0.17445130620823324
PEC,END,Gpc3,Flt1,0.5872914113569787,0.7695988650212211,-0.1823074536642424
TEC,PEC,Adm,Ackr3,0.7373193613686653,0.9201235231850087,-0.1828041618163434
PEC,IMM,Icam1,Itgal_Itgb2,0.2903576314543771,0.47674995793588815,-0.18639232648151105
POD,PEC,Egf,Axl,0.4223951431688784,0.6217396188833961,-0.19934447571451774
MES,PEC,Cxcl10,Dpp4,0.5807603956854045,0.7868851104309805,-0.20612471474557603
PEC,END,Plau,Itgb5,0.5355028698599702,0.7433502785636986,-0.20784740870372842
PEC,IMM,Vegfa,Cd44,0.2614575652230692,0.4727437776987903,-0.2112862124757211
END,PEC,Serpine1,Plaur,0.638544982762186,0.8498980579460398,-0.21135307518385382
PEC,MES,Ptn,Sdc1,0.47439589004907956,0.686083711510052,-0.21168782146097243
END,PEC,Icam1,Cav1,0.7087122687949535,0.9223964273943992,-0.21368415859944567
PEC,SMC,Vegfa,Sirpa,0.7807755505777418,1.0,-0.21922444942225816
PEC,PEC,Adm,Ramp3,0.7764551968368971,1.0,-0.22354480316310288
SMC,PEC,Mdk,Sdc2,0.6366650693116598,0.8605758005839033,-0.22391073127224348
PEC,SMC,Col4a3,Sdc1,0.5388567371303322,0.7695850940490999,-0.2307283569187677
PEC,SMC,Tgm2,Itga4,0.5405389093547641,0.7756109895133185,-0.2350720801585544
SMC,PEC,Adm,Pth1r,0.14538664303701848,0.3814161513379509,-0.23602950830093244
SMC,PEC,Spp1,Ptger4,0.6576754872336545,0.8961549330883337,-0.23847944585467917
PEC,IMM,Apoe,Sorl1,0.7456455896176926,0.9902960613978715,-0.24465047178017896
PEC,PEC,Cxcl12,Dpp4,0.7547693020180299,1.0,-0.24523069798197006
PEC,IMM,Gpc3,Flt1,0.7460556174471,1.0,-0.25394438255289997
POD,PEC,Icam1,Cav1,0.5021796620661299,0.7593279898248195,-0.2571483277586897
POD,PEC,Adm,Pth1r,0.520582621531646,0.8009102297530535,-0.28032760822140745
POD,PEC,Gpc3,Flt1,0.48344610521903,0.7640624307347327,-0.2806163255157027
MES,PEC,Adm,Calcrl,0.6070860941952301,0.8952050343456747,-0.2881189401504446
END,PEC,Gas6,Axl,0.39038157835260995,0.6816825569962097,-0.2913009786435998
MES,PEC,Gpc3,Flt1,0.40826941839842745,0.6996928530754157,-0.2914234346769883
PEC,IMM,Cxcl12,Cxcr4,0.469780183343424,0.7620716826119932,-0.29229149926856923
PEC,MES,Cxcl10,Dpp4,0.7021488181985268,1.0,-0.2978511818014732
PEC,PEC,Gpc3,Flt1,0.4409535701632197,0.7447771147810243,-0.3038235446178046
POD,PEC,Thbs1,Lrp1,0.6932996020103155,1.0,-0.3067003979896845
SMC,PEC,Cxcl1,Dpp4,0.4123611325726215,0.7200314526368511,-0.30767032006422956
PEC,TEC,Cxcl10,Dpp4,0.4314462957137447,0.7424357665624077,-0.310989470848663
END,PEC,Adm,Pth1r,0.6888664868830536,1.0,-0.31113351311694637
PEC,POD,Csf1,Sirpa,0.38797181091733124,0.7008323414533864,-0.3128605305360551
END,PEC,F8,Lrp1,0.6867537775380361,1.0,-0.3132462224619639
PEC,MES,Gpc3,Lrp1,0.497928410451704,0.819043603338805,-0.321115192887101
PEC,TEC,Plau,Plaur,0.43830563263671696,0.7630114147852436,-0.32470578214852663
PEC,PEC,Adm,Ackr3,0.6710771714424579,1.0,-0.32892282855754207
PEC,POD,Dll4,Notch2,0.6556310034113917,1.0,-0.3443689965886083
PEC,MES,Hspg2,Sdc1,0.5222265638570833,0.8703138159486108,-0.34808725209152747
PEC,SMC,Jag1,Notch3,0.06642290067191536,0.4326045946630268,-0.36618169399111145
PEC,MES,Vegfa,Sirpa,0.6080961504734431,0.9755447378798838,-0.3674485874064407
MES,PEC,Pdgfc,Flt1,0.6162287962075301,1.0,-0.3837712037924699
PEC,SMC,Dll4,Notch3,0.6161173958622822,1.0,-0.3838826041377178
PEC,MES,Cxcl10,Sdc4,0.6125607806423974,1.0,-0.3874392193576026
PEC,MES,Dll4,Notch3,0.6070860941952301,1.0,-0.3929139058047699
PEC,IMM,Cxcl10,Dpp4,0.5578220825645266,0.9593560723026324,-0.40153398973810583
PEC,MES,Cxcl12,Dpp4,0.5853307420226194,1.0,-0.41466925797738063
IMM,PEC,Tnf,Fas,0.08930052436168397,0.5141837290329764,-0.4248832046712924
PEC,MES,Adm,Calcrl,0.5670147620108437,1.0,-0.43298523798915634
MES,PEC,Pdgfc,Pdgfrb,0.5661931946139489,1.0,-0.4338068053860511
PEC,PEC,Serpine2,Lrp1,0.5624213404596817,1.0,-0.43757865954031827
MES,PEC,Serpine1,Plaur,0.48999977191733624,0.9366641222114624,-0.4466643502941262
END,PEC,Apoe,Lrp1,0.5532171015433187,1.0,-0.4467828984566813
SMC,PEC,Rarres2,Ccrl2,0.38246060466268206,0.8303612594149303,-0.4479006547522483
POD,PEC,Gpc3,Lrp1,0.5439897804320917,1.0,-0.4560102195679083
PEC,SMC,Ptn,Sdc1,0.5422245788141645,1.0,-0.4577754211858355
PEC,IMM,Adm,Calcrl,0.5393674330788706,1.0,-0.4606325669211294
PEC,POD,Gpc3,Flt1,0.03156022997875339,0.49522190751653006,-0.46366167753777665
PEC,POD,Cxcl12,Ackr3,0.491578715787124,0.9573686423531844,-0.46578992656606044
PEC,SMC,Cxcl1,Dpp4,0.23632313939319124,0.711849513412236,-0.47552637401904474
PEC,PEC,Gpc3,Lrp1,0.520820046944583,1.0,-0.47917995305541705
END,PEC,Mfng,Notch2,0.49633589164454295,0.9976452470185788,-0.5013093553740359
PEC,MES,Col4a3,Sdc1,0.47594115078749477,0.9782316153251271,-0.5022904645376324
PEC,IMM,Cxcl12,Dpp4,0.49282454835572254,1.0,-0.5071754516442775
MES,PEC,Pam,Dpp4,0.48813824478146245,1.0,-0.5118617552185376
PEC,IMM,Dll4,Notch2,0.4774897634968436,1.0,-0.5225102365031564
TEC,PEC,Serpine2,Lrp1,0.4551704786789502,1.0,-0.5448295213210498
PEC,SMC,Dll4,Notch2,0.45012462289503874,1.0,-0.5498753771049613
MES,PEC,Hspg2,Lrp1,0.24131773016122082,0.7971138562000168,-0.555796126038796
PEC,SMC,Rarres2,Ccrl2,0.3979854076148912,1.0,-0.6020145923851088
PEC,TEC,Cxcl12,Dpp4,0.3496818876291762,1.0,-0.6503181123708238
IMM,PEC,Serpine2,Lrp1,0.3399500163837584,1.0,-0.6600499836162417
END,PEC,Serpine2,Lrp1,0.32530758617726835,1.0,-0.6746924138227317
POD,PEC,Gas6,Axl,0.2612359333252586,0.9376797899616505,-0.676443856636392
POD,PEC,Serpine2,Lrp1,0.3007842669100503,1.0,-0.6992157330899498
PEC,TEC,Adm,Ackr3,0.20119207335112513,1.0,-0.7988079266488749
PEC,SMC,Gpc3,Flt1,0.1961491661821202,1.0,-0.8038508338178798
PEC,PEC,Cxcl1,Dpp4,0.09401510688854317,0.9124076340053383,-0.8183925271167951
PEC,IMM,Adm,Pth1r,0.10433831011676115,0.932706345449988,-0.8283680353332268
TEC,PEC,Adm,Pth1r,0.1555877596228442,1.0,-0.8444122403771558
PEC,TEC,Adm,Ramp3,0.12491131446966028,1.0,-0.8750886855303397
PEC,TEC,Cxcl1,Dpp4,0.02106487387562704,0.9028237684107638,-0.8817588945351368
PEC,MES,Gpc3,Flt1,0.05247693411289954,0.9343650476901633,-0.8818881135772637
PEC,TEC,Gpc3,Flt1,0.1094907351088636,1.0,-0.8905092648911364
PEC,PEC,Adm,Pth1r,0.09917976585190748,1.0,-0.9008202341480925
PEC,END,Adm,Pth1r,0.08884431319306373,1.0,-0.9111556868069363
PEC,MES,Cxcl1,Dpp4,0.07329514481937091,1.0,-0.9267048551806291
POD,PEC,Apoe,Lrp1,0.042030909811289076,0.9689931003923007,-0.9269621905810116
PEC,IMM,Cxcl1,Dpp4,0.05769071107919679,1.0,-0.9423092889208032
MES,PEC,Thbs1,Lrp1,0.04725700156746682,1.0,-0.9527429984325332
END,PEC,Angptl4,Cdh11,,0.6575221408320964,
END,PEC,Angptl4,Sdc1,,1.0,
END,PEC,Angptl4,Sdc2,,0.8670166641514276,
END,PEC,Angptl4,Sdc4,,0.4260705059180375,
END,PEC,Apoe,Lrp2,,0.6425033027865242,
END,PEC,Bst1,Cav1,,1.0,
END,PEC,Calca,Calcrl,,1.0,
END,PEC,Calca,Pth1r,,1.0,
END,PEC,Calca,Ramp3,,0.6956716097238569,
END,PEC,Col4a3,Cd44,,1.0,
END,PEC,Col4a3,Cd93,,0.2279041641907064,
END,PEC,Col4a3,Sdc1,,1.0,
END,PEC,Col4a4,Cd44,,1.0,
END,PEC,Col4a4,Cd93,,0.10092597037603296,
END,PEC,Col4a4,Sdc1,,0.6862565089437648,
END,PEC,Csf1,Csf2ra,,0.41801721007186876,
END,PEC,Csf1,Sirpa,,0.5262347167885822,
END,PEC,Cxcl1,Dpp4,,1.0,
END,PEC,Cxcl10,Dpp4,,1.0,
END,PEC,Cxcl10,Sdc4,,0.38491071549170885,
END,PEC,Cxcl12,Ackr3,,1.0,
END,PEC,Cxcl12,Dpp4,,1.0,
END,PEC,Cxcl12,Sdc4,,0.7526936557031345,
END,PEC,Dlk1,Notch2,,0.7282760698884045,
END,PEC,Dlk1,Notch3,,0.5065188227040761,
END,PEC,Dll1,Notch2,,0.7877567627002495,
END,PEC,Dll1,Notch3,,1.0,
END,PEC,Dll4,Notch3,,0.952552250759212,
END,PEC,Edn1,Ednrb,,1.0,
END,PEC,Efna1,Epha4,,0.6478469458934719,
END,PEC,F8,Lrp2,,0.5679407784969718,
END,PEC,Fgfr3,Epha4,,0.5289047430591062,
END,PEC,Gpc3,Flt1,,0.014861968763315952,
END,PEC,Gpc3,Lrp1,,0.050750793764957024,
END,PEC,Gpc3,Lrp2,,0.5993416084357712,
END,PEC,Hbegf,Cd44,,0.6190982570272133,
END,PEC,Hspg2,Lrp2,,0.8479605771763034,
END,PEC,Hspg2,Sdc1,,0.7233218742348758,
END,PEC,Jag1,Notch2,,0.7077817687160536,
END,PEC,Jag1,Notch3,,0.5364776985731962,
END,PEC,Jag2,Notch2,,0.7627367607864388,
END,PEC,Jag2,Notch3,,1.0,
END,PEC,Kitl,Epor,,0.6687353305097139,
END,PEC,Lamc2,Cd44,,1.0,
END,PEC,Ltf,Lrp1,,1.0,
END,PEC,Ltf,Tfrc,,1.0,
END,PEC,Ptn,Sdc1,,1.0,
END,PEC,Rarres2,Ccrl2,,0.07381900580397102,
END,PEC,Sele,Cd44,,0.5302432208202504,
END,PEC,Serpine1,Lrp2,,0.8614507724310708,
END,PEC,Serping1,Lrp1,,0.5083983331793228,
END,PEC,Spp1,Cd44,,0.9562029387645914,
END,PEC,Spp1,Ptger4,,0.8513089479624973,
END,PEC,Spp1,S1pr1,,0.6781612868967177,
END,PEC,Thbs2,Itga6,,0.9009149884552581,
END,PEC,Thbs2,Notch3,,1.0,
END,PEC,Thbs2,Sdc1,,0.6447897678299508,
END,PEC,Vegfa,Cd44,,0.8698084604016711,
END,PEC,Vegfa,Sirpa,,0.9837144517582814,
IMM,PEC,Ada,Dpp4,,1.0,
IMM,PEC,Adm,Ackr3,,1.0,
IMM,PEC,Adm,Calcrl,,0.6629278629523425,
IMM,PEC,Adm,Pth1r,,0.7058744978561711,
IMM,PEC,Adm,Ramp3,,1.0,
IMM,PEC,Angptl4,Cdh11,,0.8503379318439324,
IMM,PEC,Angptl4,Sdc1,,1.0,
IMM,PEC,Angptl4,Sdc2,,0.6829072995338465,
IMM,PEC,Angptl4,Sdc4,,0.5707501355611722,
IMM,PEC,Apoc2,Lrp2,,0.1632902481434242,
IMM,PEC,Apoe,Lrp2,,0.2915927627669867,
IMM,PEC,Bst1,Cav1,,0.5672399709982086,
IMM,PEC,C1qa,Cd93,,0.35698697776564514,
IMM,PEC,C1qb,Lrp1,,0.2036231745964375,
IMM,PEC,Ccl5,Sdc1,,0.5533434044003788,
IMM,PEC,Col4a3,Cd44,,1.0,
IMM,PEC,Col4a3,Cd93,,0.11752368447376199,
IMM,PEC,Col4a3,Sdc1,,0.7535568561329866,
IMM,PEC,Csf1,Csf2ra,,0.8143777948222114,
IMM,PEC,Csf1,Sirpa,,0.5476501308576747,
IMM,PEC,Dlk1,Notch2,,1.0,
IMM,PEC,Dlk1,Notch3,,0.09260327366191579,
IMM,PEC,Edn1,Ednrb,,0.47442240283956616,
IMM,PEC,Efna1,Epha4,,0.595673677657163,
IMM,PEC,Fn1,Cd44,,0.5954964036395998,
IMM,PEC,Fn1,Itga6,,0.45567599106111134,
IMM,PEC,Fn1,Nt5e,,0.4765715223786662,
IMM,PEC,Fn1,Robo4,,0.6892697566588434,
IMM,PEC,Fn1,Sdc1,,0.8458107883958944,
IMM,PEC,Gpc3,Flt1,,0.01698109206593185,
IMM,PEC,Gpc3,Lrp1,,0.05495399926948494,
IMM,PEC,Gpc3,Lrp2,,0.6394428748960133,
IMM,PEC,Hbegf,Cd44,,0.7466350854354238,
IMM,PEC,Hspg2,Lrp1,,0.5754333164860765,
IMM,PEC,Hspg2,Lrp2,,1.0,
IMM,PEC,Hspg2,Sdc1,,1.0,
IMM,PEC,Kitl,Epor,,1.0,
IMM,PEC,Lcn2,Lrp2,,0.7508502091460025,
IMM,PEC,Mfng,Notch2,,0.6387044867883735,
IMM,PEC,Mmp12,Plaur,,0.22617532842391389,
IMM,PEC,Mmp13,Lrp1,,0.3988829610294234,
IMM,PEC,Pam,Dpp4,0.3931816941604659,,
IMM,PEC,Pf4,Lrp1,,0.40388989599274977,
IMM,PEC,Pf4,Sdc2,,0.3261461636280275,
IMM,PEC,Pf4,Thbd,,0.8296143827751651,
IMM,PEC,Plau,Itgb5,,0.5849354218555717,
IMM,PEC,Plau,Lrp1,,1.0,
IMM,PEC,Plau,Lrp2,,0.5971763172547374,
IMM,PEC,Plau,Plaur,,0.9435319456415304,
IMM,PEC,Plau,St14,,0.08277916749614903,
IMM,PEC,Ptn,Sdc1,,1.0,
IMM,PEC,Rarres2,Ccrl2,,0.10715755685681495,
IMM,PEC,S100a8,Cd68,,0.6303685195213409,
IMM,PEC,Serpine1,Itgb5,,0.8716730618594912,
IMM,PEC,Serpine1,Lrp1,,1.0,
IMM,PEC,Serpine1,Lrp2,,0.8623768787416346,
IMM,PEC,Serpine1,Plaur,,0.4666604657297656,
IMM,PEC,Serping1,Lrp1,,0.2640614865278589,
IMM,PEC,Spint1,St14,,0.07901729571550312,
IMM,PEC,Spp1,Cd44,,0.4920866907539456,
IMM,PEC,Spp1,Ptger4,,0.616460541772581,
IMM,PEC,Spp1,S1pr1,,0.39391771651095636,
IMM,PEC,Thbs1,Itga6,,0.44367452652683714,
IMM,PEC,Thbs1,Sdc1,,0.6821148313039733,
IMM,PEC,Trf,Lrp2,,0.07209338063606935,
IMM,PEC,Trf,Tfrc,,0.22677087473442797,
IMM,PEC,Vcan,Cd44,,0.6708155730791407,
IMM,PEC,Vcan,Tlr2,,0.5721582815955778,
IMM,PEC,Vegfa,Cd44,,1.0,
IMM,PEC,Vegfa,Sirpa,,0.35503211517231836,
MES,PEC,Ada,Dpp4,,0.8571424569879166,
MES,PEC,Angptl4,Cdh11,,0.6068216065567597,
MES,PEC,Angptl4,Sdc1,,0.35361381286177557,
MES,PEC,Apoe,Lrp2,,0.3528984511628042,
MES,PEC,C1qb,Lrp1,,0.5308787800611461,
MES,PEC,C1qtnf5,Mfrp,,0.47532500055376464,
MES,PEC,Calca,Calcrl,,0.17920081139641883,
MES,PEC,Calca,Pth1r,,0.1914296903454742,
MES,PEC,Calca,Ramp3,,0.4763180098078404,
MES,PEC,Col1a2,Cd44,,1.0,
MES,PEC,Col1a2,Cd93,,1.0,
MES,PEC,Col1a2,Sdc1,,0.46974278049982604,
MES,PEC,Col4a3,Cd44,,1.0,
MES,PEC,Col4a3,Cd93,,0.24401315762891793,
MES,PEC,Col4a3,Sdc1,,1.0,
MES,PEC,Col4a4,Cd44,,1.0,
MES,PEC,Col4a4,Cd93,,0.1361202449789941,
MES,PEC,Col4a4,Sdc1,,0.8486345527607153,
MES,PEC,Col6a3,Cd44,,0.6672056829964661,
MES,PEC,Col6a3,Sdc1,,0.7903758016967274,
MES,PEC,Cp,Slc40a1,,0.8448968132083052,
MES,PEC,Csf1,Csf2ra,,1.0,
MES,PEC,Csf1,Sirpa,,1.0,
MES,PEC,Cxcl12,Ackr3,,0.8366856972509535,
MES,PEC,Cxcl12,Dpp4,,0.4857818180995579,
MES,PEC,Cxcl12,Sdc4,,0.4974541835405543,
MES,PEC,Dcn,Met,,0.08088813254856264,
MES,PEC,Dcn,Tlr2,,1.0,
MES,PEC,Dlk1,Notch2,,1.0,
MES,PEC,Dlk1,Notch3,,0.0988467851960732,
MES,PEC,Dll1,Notch2,,0.995605263807649,
MES,PEC,Dll1,Notch3,,0.2117325203857789,
MES,PEC,Dll4,Notch3,,0.29792008880083276,
MES,PEC,Edn1,Ednrb,,1.0,
MES,PEC,Efna1,Epha4,,0.19753084559236372,
MES,PEC,Egf,Axl,,1.0,
MES,PEC,Egf,Cav1,,1.0,
MES,PEC,Egf,Lrp2,,1.0,
MES,PEC,Fgfr3,Epha4,,0.411333628724622,
MES,PEC,Gpc3,Lrp2,,0.5868340235447281,
MES,PEC,Hbegf,Cd44,,0.6169665817553234,
MES,PEC,Hspg2,Lrp2,,0.995605263807649,
MES,PEC,Hspg2,Sdc1,,1.0,
MES,PEC,Jag1,Notch3,,0.2780372912625525,
MES,PEC,Kitl,Epor,,0.7570623624225662,
MES,PEC,Ltbp1,Itgb5,,1.0,
MES,PEC,Pf4,Lrp1,,1.0,
MES,PEC,Pf4,Sdc2,,0.6501460634728027,
MES,PEC,Pf4,Thbd,,1.0,
MES,PEC,Plau,Lrp2,,0.5275685196493864,
MES,PEC,Ptn,Sdc1,,0.2536270269874346,
MES,PEC,Serpine1,Lrp2,,0.5842206999917119,
MES,PEC,Spp1,Cd44,,0.8085109911798042,
MES,PEC,Spp1,Ptger4,,0.9854460302198251,
MES,PEC,Spp1,S1pr1,,0.5714538306247335,
MES,PEC,Tgfb3,Itgb5,,0.6837005814578221,
MES,PEC,Tgfb3,Itgb6,,0.2080471109502084,
MES,PEC,Tgm2,Sdc4,,0.3798053072027692,
MES,PEC,Thbs1,Itga6,,1.0,
MES,PEC,Thbs1,Sdc1,,1.0,
MES,PEC,Thbs2,Itga6,,0.7623137810963516,
MES,PEC,Thbs2,Notch3,,0.16693648645261677,
MES,PEC,Thbs2,Sdc1,,1.0,
MES,PEC,Tnc,Sdc1,,0.5856509069215199,
MES,PEC,Trf,Lrp2,,0.9474716601243918,
MES,PEC,Trf,Tfrc,,0.490426907808617,
MES,PEC,Vegfa,Cd44,,1.0,
MES,PEC,Vegfa,Sirpa,,0.24803063507440537,
MES,PEC,Vegfc,Flt1,,0.8264087292855017,
PEC,END,Ada,Dpp4,,0.22992121405581675,
PEC,END,Agt,Agtr1a,,0.5457977582996597,
PEC,END,Agt,Enpep,,0.5756885077640495,
PEC,END,Angptl4,Sdc2,,1.0,
PEC,END,Angptl4,Sdc4,,0.5928365993513633,
PEC,END,Apoe,Sdc2,,1.0,
PEC,END,C1qa,Cd93,,1.0,
PEC,END,Calca,Calcrl,,0.6177077617337294,
PEC,END,Calca,Pth1r,,0.41326067775066433,
PEC,END,Calca,Ramp3,,0.48788811021449086,
PEC,END,Ccl5,Ccrl2,,0.6501460634728027,
PEC,END,Ccl5,Dpp4,,0.3196790396123139,
PEC,END,Ccl5,Sdc4,,1.0,
PEC,END,Col1a1,Cd36,,1.0,
PEC,END,Col1a1,Cd93,,0.5356195432900819,
PEC,END,Col1a2,Cd36,,1.0,
PEC,END,Col1a2,Cd93,,0.6214229424257894,
PEC,END,Col4a3,Cd93,,0.6206786053053852,
PEC,END,Col4a4,Cd93,,0.918438892723402,
PEC,END,Col4a5,Cd93,,0.9842596783250985,
PEC,END,Col6a1,Itga6,,0.6288977444715059,
PEC,END,Cxcl1,Dpp4,,1.0,
PEC,END,Cxcl10,Dpp4,,1.0,
PEC,END,Cxcl12,Dpp4,,1.0,
PEC,END,Dcn,Tlr2,,1.0,
PEC,END,Egf,Axl,,0.21982618915086827,
PEC,END,Egf,Cav1,,0.4502488407680681,
PEC,END,Fn1,Dpp4,,1.0,
PEC,END,Fn1,Itga6,,0.5423909369534724,
PEC,END,Fn1,Plaur,,0.5391425809177539,
PEC,END,Fn1,Robo4,,0.7442830617015712,
PEC,END,Fn1,Sdc2,,1.0,
PEC,END,Gas6,Axl,,1.0,
PEC,END,Ltbp1,Itgb5,,1.0,
PEC,END,Mdk,Sdc2,,1.0,
PEC,END,Mdk,Sdc4,,0.534945588460118,
PEC,END,Npy,Dpp4,,1.0,
PEC,END,Pam,Dpp4,,1.0,
PEC,END,Pdgfc,Flt1,,0.5209214852982127,
PEC,END,Pdgfc,Pdgfrb,,0.14847341748231457,
PEC,END,Ptn,Sdc2,,0.9160705118795534,
PEC,END,Rarres2,Cmklr1,,0.7877567627002495,
PEC,END,Serpine1,Itgb5,,1.0,
PEC,END,Serpine1,Plaur,,0.7611322933889667,
PEC,END,Slit3,Robo4,,0.8357923331099175,
PEC,END,Thbs2,Cd36,,1.0,
PEC,END,Thbs2,Itga6,,1.0,
PEC,END,Tnc,Sdc4,,0.6440270752294808,
PEC,END,Tnfsf10,Tnfrsf10b,,0.8866851817208762,
PEC,END,Vegfc,Flt1,,0.5554132458372695,
PEC,IMM,Ada,Dpp4,,0.3958828012761748,
PEC,IMM,Adm,Gpr84,,0.7382524334988915,
PEC,IMM,Agt,Agtr1a,,0.5000261930250529,
PEC,IMM,Agt,Enpep,,0.6726521907351302,
PEC,IMM,Angptl4,Sdc2,,1.0,
PEC,IMM,Angptl4,Sdc4,,0.8249537646530518,
PEC,IMM,Angptl7,Pirb,,0.5981034868115699,
PEC,IMM,Apoe,Sdc2,,1.0,
PEC,IMM,Apoe,Trem2,,0.2291596439929668,
PEC,IMM,Bst1,Cav1,,0.14811241893271235,
PEC,IMM,C1qa,Cd93,,1.0,
PEC,IMM,C1qb,Lrp1,,1.0,
PEC,IMM,C3,C3ar1,,0.015819896699005263,
PEC,IMM,C3,Itgam,,0.030883679356076346,
PEC,IMM,C3,Itgax,,0.022033732177542436,
PEC,IMM,C3,Lrp1,,0.7762029324201956,
PEC,IMM,Calca,Adrb2,,1.0,
PEC,IMM,Calca,Calcrl,,0.4649301283868419,
PEC,IMM,Calca,Gpr84,,0.8124273851966313,
PEC,IMM,Calca,Pth1r,,0.177159217468997,
PEC,IMM,Calca,Ramp1,,0.510402555609068,
PEC,IMM,Calca,Ramp3,,1.0,
