source,target,ligand_complex,receptor_complex,magnitude_rank_ctrl,magnitude_rank_neph,delta_rank_ctrl_minus_neph
PEC,MES,Ptn,Sdc2,1.0,0.5417111412877478,0.4582888587122522
SMC,PEC,Apoe,Sorl1,1.0,0.5425020944557305,0.4574979055442695
PEC,PEC,Plau,St14,0.4466785983698017,0.00781961508594341,0.4388589832838583
PEC,IMM,Spp1,Ptger4,0.45012462289503874,0.015475312431265865,0.43464931046377286
IMM,PEC,Ccl5,Dpp4,0.8733402609404959,0.4395244570693658,0.43381580387113006
PEC,MES,Spp1,Ptger4,0.433147548362096,0.0012463986309122438,0.43190114973118376
PEC,SMC,Hspg2,Lrp1,1.0,0.5686423399869112,0.43135766001308884
PEC,POD,Adm,Pth1r,0.66139334673045,0.23396900924279165,0.4274243374876584
PEC,SMC,Adm,Pth1r,1.0,0.5742747512798179,0.42572524872018214
PEC,TEC,Cdh1,Ptprf,0.4408603375248259,0.019086213816702866,0.421774123708123
MES,PEC,Serpine1,Itgb5,1.0,0.5785233358434936,0.4214766641565064
POD,PEC,Adm,Ramp3,0.8595023960242487,0.4380345348282623,0.4214678611959864
POD,PEC,Ptn,Sdc2,1.0,0.5813672752867131,0.41863272471328694
PEC,IMM,Adm,Adrb2,1.0,0.5813672752867131,0.41863272471328694
SMC,PEC,Icam1,Cav1,1.0,0.5820798483069772,0.41792015169302277
PEC,IMM,Apoe,Lrp1,1.0,0.5827928234134638,0.41720717658653617
PEC,IMM,Spp1,S1pr1,0.6034544854621292,0.1872688269038578,0.4161856585582714
POD,PEC,Pam,Dpp4,1.0,0.5885181383235851,0.4114818616764149
PEC,IMM,Col4a3,Cd93,1.0,0.5899553474137129,0.4100446525862871
IMM,PEC,Ptn,Sdc2,1.0,0.5913948944554146,0.4086051055445854
PEC,END,Thbs1,Cd36,0.875660913571219,0.4671560133160607,0.4085049002551583
END,PEC,Tgm2,Sdc4,0.49474677201912637,0.0909407252749185,0.40380604674420784
PEC,IMM,Serpine2,Lrp1,1.0,0.5993540039849797,0.40064599601502027
