source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
PEC,END,Thbs2,Cd36,0.37584084,0.0,0.12054355,0.10014420491975853,-0.053556647872844976,0.0328802,0.5893602,0.49298594013428915,1.0
PEC,END,Thbs2,Itga6,0.37515604,0.0,0.12022591,0.08358151959644602,0.2922374571721136,0.03568785,0.5890408,0.4657545292846118,1.0
PEC,END,Ptn,Sdc4,0.41981903,1.0,0.17624421,-0.5132703858921819,-1.6132876735141493,0.0038917002,0.63442576,1.0,1.0
PEC,END,Serpine1,Itgb5,0.34607628,1.0,0.11904774,-0.3043888922551995,-0.8900188851852724,0.0071364148,0.58784837,1.0,1.0
PEC,END,Gas6,Axl,0.40939963,1.0,0.08726513,-0.3719064735058552,-1.1301028474887274,0.0034909882,0.5497823,1.0,1.0
PEC,PEC,Adm,Ackr3,0.40363967,1.0,0.16175841,-0.14755607029506493,-0.7714018721955818,0.012237028,0.6244237,1.0,1.0
PEC,PEC,Adm,Calcrl,0.35051316,1.0,0.12249957,-0.37292368230629624,-0.8715021430095206,0.0073384955,0.59130657,1.0,1.0
PEC,IMM,Calca,Adrb2,0.47905856,0.0,0.17200272,0.2545522858484533,1.8584505843547252,0.052619632,0.6315962,0.14921808663301067,1.0
PEC,IMM,Calca,Ramp3,0.34639642,1.0,0.108516276,-0.20618358634796058,-0.25971557655158906,0.015428954,0.5765839,1.0,1.0
PEC,IMM,C1qb,Lrp1,0.35781953,0.019,0.09333912,0.06091078377945447,-3.457307534338022,0.008439299,0.5580953,1.0,1.0
PEC,IMM,Adm,Calcrl,0.32729903,1.0,0.10534506,-0.39594317603597984,-1.105405053917237,0.006310832,0.57295954,1.0,1.0
PEC,PEC,Edn1,Ednrb,0.31371617,1.0,0.089326605,-0.10053022043052032,-0.4044028476807905,0.01793627,0.5526702,1.0,1.0
PEC,PEC,Cxcl12,Ackr3,0.45738125,0.049,0.208814,0.0458563527566404,0.8370632708128076,0.022426957,0.65385723,1.0,1.0
PEC,MES,Hspg2,Sdc1,0.77974665,0.0,0.57527626,0.4705124005050683,0.8334373105738835,0.08667106,0.7581825,0.0807556780796884,1.0
PEC,MES,Icam1,Cav1,0.4304945,1.0,0.11853653,-0.3155959140974451,-0.9244612959283122,0.0063514384,0.587327,1.0,1.0
PEC,PEC,Col1a2,Cd44,0.43021542,0.106,0.17321959,0.05933333434023112,1.6456567611776867,0.010812863,0.632416,1.0,1.0
PEC,PEC,Apoe,Lrp1,0.3721626,1.0,0.11769092,-0.189690246040997,-0.4180932748774324,0.0073076845,0.58645904,1.0,1.0
PEC,PEC,Adm,Ramp3,0.35798538,1.0,0.1280213,-0.4058664024076039,-1.1746180521604277,0.0069120545,0.596623,1.0,1.0
PEC,PEC,Angptl4,Cdh11,0.37003824,0.362,0.12679139,0.02732350760956006,0.29414022017472496,0.02119397,0.59546083,1.0,1.0
PEC,PEC,Angptl4,Sdc1,0.4033122,0.661,0.15811688,0.0009448818988648869,-0.255034656599479,0.019203339,0.62175,1.0,1.0
PEC,MES,Tnc,Sdc4,0.7583226,0.001,0.5721785,0.06059599371401092,0.6611705861226249,0.028286263,0.75768715,1.0,1.0
TEC,PEC,Ptn,Sdc1,0.36152494,1.0,0.13004386,-0.15217804374210042,-0.5485916280679426,0.012680953,0.59850776,1.0,1.0
TEC,PEC,Kitl,Epor,0.32996815,1.0,0.106801935,-0.03927585811862434,-0.4179203729415063,0.025756726,0.57463896,1.0,1.0
TEC,PEC,Kng1,Cd93,0.58443403,0.0,0.17205423,0.4894382430847773,3.34603491955096,0.07789964,0.631631,0.06971427646657191,1.0
TEC,PEC,Hspg2,Lrp1,0.3501076,1.0,0.10763861,-0.15055306512998304,-0.4274142940965653,0.011521255,0.57559234,1.0,1.0
TEC,PEC,Cxcl12,Dpp4,0.3148748,1.0,0.098411426,-0.27089930973087367,-0.44428209862365065,0.0054416424,0.56461024,1.0,1.0
TEC,PEC,Cxcl10,Dpp4,0.34632558,1.0,0.116512544,-0.24762065570219488,-1.3534705021137028,0.005696808,0.5852383,1.0,1.0
MES,PEC,Serpine1,Lrp1,0.39862555,0.999,0.1297523,-0.06852988615147482,-0.6067400725401884,0.0146679785,0.5982381,1.0,1.0
MES,PEC,Plau,Lrp1,0.41766164,0.0,0.13842863,0.06754725911703463,0.32209282972152053,0.01339997,0.60599136,0.9525166023095794,1.0
PEC,IMM,Gpc3,Lrp1,0.43859297,0.007,0.18123475,0.034591555872661495,-0.04213208685343239,0.022406999,0.63765764,1.0,1.0
PEC,IMM,Egf,Adrb2,0.4228553,0.0,0.09120056,0.15875492784396847,-1.0954676757647264,0.012216432,0.55523515,1.0,1.0
PEC,IMM,Cxcl1,Dpp4,0.3534907,1.0,0.10470726,-0.19444290922323962,-0.6913597720924046,0.006297236,0.5722164,1.0,1.0
PEC,IMM,Cxcl10,Dpp4,0.41099894,1.0,0.12899801,-0.1982539220170172,-0.4988537471327691,0.006307277,0.5975373,1.0,1.0
PEC,IMM,Cxcl12,Dpp4,0.34408057,1.0,0.100732535,-0.24179489655153508,0.04321120264813849,0.005569988,0.56747335,1.0,1.0
PEC,IMM,Thbs2,Itga4,0.40412974,0.008,0.13366516,0.06363038858894257,-0.5929714023927265,0.024133896,0.6018033,1.0,1.0
MES,PEC,Gas6,Axl,0.40923214,1.0,0.16746493,-0.3775239630387712,-1.0611815205901207,0.0066993325,0.62848026,1.0,1.0
TEC,PEC,Angptl4,Cdh11,0.31784824,0.997,0.098676,-0.023171171209815322,0.17834245764178402,0.016494308,0.5649402,1.0,1.0
PEC,IMM,Pam,Dpp4,0.42746228,1.0,0.13595194,-0.2114702437159267,-0.7286217290937572,0.007167212,0.60383403,1.0,1.0
PEC,IMM,Ccl5,Sdc4,0.45545304,1.0,0.150549,-0.18550768598476852,-0.39573605783081156,0.008230256,0.6159658,1.0,1.0
PEC,IMM,Cd59b,Stab1,0.3935651,0.377,0.13560107,0.0033977698537495885,-0.416645407478599,0.028609449,0.603525,1.0,1.0
PEC,IMM,Col1a2,Cd93,0.445839,0.531,0.18325885,0.042759882794509804,1.7274173665189354,0.023236658,0.6389398,1.0,1.0
PEC,IMM,Fn1,Dpp4,0.36059475,1.0,0.10770792,-0.09146351857713095,-0.28475519993792286,0.007887487,0.575671,1.0,1.0
PEC,IMM,Dlk1,Notch2,0.46813744,0.0,0.12525222,0.15778490704659281,0.20100990181594325,0.027686127,0.5939889,0.32386779701916985,1.0
PEC,IMM,Mfng,Notch2,0.46904364,0.0,0.12665607,0.07868469922057965,0.7737942608488896,0.020991668,0.59533226,0.48725638227644874,1.0
PEC,IMM,Il1b,Adrb2,0.43473098,0.0,0.108273976,0.25663629790751696,0.4493810313677047,0.014544879,0.57631105,0.8471648464467025,1.0
MES,PEC,Vegfa,Cd44,0.34858364,1.0,0.08519682,-0.04001603437783258,-0.8723367746854686,0.0055339853,0.54681194,1.0,1.0
PEC,END,Pam,Dpp4,0.40495425,1.0,0.10697372,-0.23138962023352785,-1.0049115569807532,0.0056395177,0.57483536,1.0,1.0
PEC,END,Cxcl12,Sdc4,0.44741762,1.0,0.19930933,-0.3549260306860104,-0.20559234024689066,0.0056937737,0.6485666,1.0,1.0
PEC,END,Egf,Cav1,0.6578994,0.0,0.15084164,0.1210116417344069,-2.135098671353266,0.0091855675,0.61619544,1.0,1.0
PEC,END,Fn1,Dpp4,0.33808672,1.0,0.08474992,-0.11138289509473209,-0.5610450278249188,0.006206266,0.5461601,1.0,1.0
PEC,END,Rarres2,Cmklr1,0.37187892,0.346,0.12380701,-0.017121279318292812,0.8854841325608153,0.027469955,0.5925887,1.0,1.0
PEC,IMM,Serpine1,Itgb5,0.43569583,1.0,0.18589115,-0.21667442387770386,-0.5184758364436912,0.011143398,0.64058316,1.0,1.0
PEC,IMM,Serpine1,Lrp1,0.458508,0.306,0.2029058,0.022489140254901854,0.048033224398107754,0.022937693,0.650602,1.0,1.0
END,PEC,Ptn,Sdc1,0.31469846,1.0,0.09858546,-0.20122857573537073,-0.8449073814031088,0.009613354,0.5648273,1.0,1.0
END,PEC,Serpine1,Lrp1,0.42431152,0.973,0.14145952,-0.041820850172692006,0.33095778605979387,0.015991434,0.6085741,1.0,1.0
END,PEC,Serpine2,Lrp1,0.32637978,1.0,0.096823856,-0.3300720315589566,-0.9264647711178381,0.0060485587,0.5626102,1.0,1.0
END,PEC,Insl3,Ramp3,0.44309282,1.0,0.18699846,-0.03604659006825253,0.7901605796449652,0.05072421,0.64126664,1.0,1.0
TEC,PEC,Pam,Dpp4,0.43901503,1.0,0.16985889,-0.2039272712371943,-0.6886481871847137,0.008954744,0.63013583,1.0,1.0
TEC,PEC,Ltbp1,Itgb5,0.3791929,1.0,0.1114148,-0.2383723621163928,-1.1473559081248546,0.008800067,0.57979834,1.0,1.0
TEC,PEC,Serpine2,Lrp1,0.3615952,1.0,0.11287448,-0.2897647938079282,-0.7028193819944978,0.007051237,0.5813831,1.0,1.0
END,PEC,Apoe,Lrp1,0.2967866,1.0,0.08333579,-0.27552870294339826,-0.8201729405815857,0.0051745,0.54407394,1.0,1.0
END,PEC,Calca,Pth1r,0.4087364,1.0,0.12732525,-0.1914217881184233,0.5331296714380879,0.012440695,0.5959668,1.0,1.0
IMM,PEC,Cxcl10,Dpp4,0.46143228,1.0,0.18276088,-0.15454919267711542,-0.6864430351794926,0.008935979,0.63862586,1.0,1.0
IMM,PEC,Dlk1,Notch2,0.42051893,0.0,0.12985165,0.11389609489485247,-0.6216321818468367,0.028702797,0.5983301,1.0,1.0
IMM,PEC,Hbegf,Cd44,0.44629344,0.999,0.19055638,-0.04616108907681149,-0.3285113101966376,0.009219342,0.6434316,1.0,1.0
IMM,PEC,Gas6,Axl,0.36222535,1.0,0.12922205,-0.42618216415687693,-0.9483425194778561,0.0051694494,0.5977459,1.0,1.0
IMM,PEC,Adm,Ackr3,0.33584896,1.0,0.1024015,-0.2117340181613657,-0.9025659414177646,0.007746677,0.5694889,1.0,1.0
IMM,PEC,Angptl4,Sdc2,0.521005,1.0,0.1395923,-0.1448954596000015,-0.9699315273273359,0.005897684,0.6069903,1.0,1.0
