Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Cell Population Proliferation (GO:0042127)	21/766	2.928596e-05	2.112221e-02	0	0	3.000675e+00	3.132225e+01	CSF1R;JAG1;JUND;EDN3;IL34;P3H2;UMOD;FGF1;THBS1;IFIT3;HOXC10;POU3F3;ADGRG1;SCIN;RAB25;EPCAM;PDPN;CLDN19;CTSH;NUPR1;SHANK2
GO_Biological_Process_2023	Negative Regulation Of Programmed Cell Death (GO:0043069)	14/381	3.136186e-05	2.112221e-02	0	0	3.985556e+00	4.132989e+01	CITED2;ANXA4;HPN;FSTL1;THBS1;IFIT3;POU3F3;PRDX5;PDPN;CTSH;TMBIM6;NUPR1;CRYAB;MET
GO_Biological_Process_2023	Positive Regulation Of MAPK Cascade (GO:0043410)	12/310	7.100339e-05	2.337358e-02	0	0	4.177210e+00	3.990398e+01	DDR1;CSF1R;APELA;EDN3;GDF15;DENND2B;IL34;WWC1;F2RL1;FGF1;NPNT;THBS1
GO_Biological_Process_2023	Zymogen Activation (GO:0031638)	5/45	8.396388e-05	2.337358e-02	0	0	1.266667e+01	1.188782e+02	CYFIP2;PLAU;CTSH;GGT1;PRSS12
GO_Biological_Process_2023	Regulation Of Apoptotic Process (GO:0042981)	19/705	8.940780e-05	2.337358e-02	0	0	2.924843e+00	2.726627e+01	BEX1;GADD45A;CITED2;ANXA4;HPN;FSTL1;THBS1;IFIT3;POU3F3;MLLT11;PRDX5;SCIN;PDPN;ANKRD1;MAP3K20;CTSH;TMBIM6;NUPR1;CRYAB
GO_Biological_Process_2023	Wound Healing, Spreading Of Cells (GO:0044319)	4/25	1.041140e-04	2.337358e-02	0	0	1.922157e+01	1.762623e+02	DDR1;PDPN;PLET1;ARHGAP24
GO_Biological_Process_2023	Positive Regulation Of Leukocyte Chemotaxis (GO:0002690)	5/54	2.020829e-04	3.888652e-02	0	0	1.033543e+01	8.792174e+01	CSF1R;EDN3;IL34;F2RL1;THBS1
GO_Biological_Process_2023	Positive Regulation Of Macrophage Chemotaxis (GO:0010759)	3/13	2.616581e-04	4.405668e-02	0	0	3.013706e+01	2.485847e+02	CSF1R;IL34;THBS1
GO_Biological_Process_2023	Positive Regulation Of Cell Migration (GO:0030335)	10/272	4.287275e-04	5.625117e-02	0	0	3.924869e+00	3.043614e+01	CSF1R;APELA;RAB25;PLAU;PDPN;CTSH;F2RL1;FGF1;PLET1;THBS1
GO_Biological_Process_2023	Regulation Of Cell Migration (GO:0030334)	13/434	4.465947e-04	5.625117e-02	0	0	3.200008e+00	2.468441e+01	CSF1R;JAG1;CITED2;APLP2;FGF1;PLET1;THBS1;PLAU;PDPN;DAG1;CLDN19;CTSH;F2RL1
