cell_type_major,inflow,outflow,netflow
END,1.580586908377296,0.580586908377296,-1.0
IMM,2.2455973298337013,2.2455973298337017,4.440892098500626e-16
MES,1.9010281391762358,1.901028139176236,2.220446049250313e-16
PEC,2.2765569102726566,2.2765569102726566,0.0
POD,2.221872323488807,2.2218723234888076,4.440892098500626e-16
SMC,1.7797236629042663,1.7797236629042663,0.0
TEC,1.27924997973779,2.2792499797377905,1.0000000000000004
