Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Cell Population Proliferation (GO:0042127)	32/766	5.646407e-12	7.820273e-09	0	0	4.977598e+00	1.289198e+02	PDGFA;LAMC2;CLU;THBS1;IFIT3;SAV1;PKHD1;ADGRG1;SCIN;RAB25;EPCAM;CLMN;GCNT2;CTSH;CAPN1;S100A11;TCF7L2;CDKN2B;JAG1;JUND;EDN3;P3H2;POU3F3;SULT2B1;BST1;CLDN3;ID2;CLDN19;NUPR1;ATF5;SHANK2;SMIM22
GO_Biological_Process_2023	Positive Regulation Of Cell Migration (GO:0030335)	14/272	6.184134e-07	3.976398e-04	0	0	5.732286e+00	8.194938e+01	PDGFA;LAMC2;PLET1;RHOD;THBS1;SYNE2;CLDN4;CLDN3;RAB25;PLAU;GCNT2;CTSH;S100A11;SMIM22
GO_Biological_Process_2023	Tight Junction Assembly (GO:0120192)	7/53	9.089487e-07	3.976398e-04	0	0	1.565727e+01	2.178079e+02	CLDN4;OCLN;CLDN3;CLDN8;CLDN7;CLDN19;LSR
GO_Biological_Process_2023	Liver Development (GO:0001889)	6/35	1.148418e-06	3.976398e-04	0	0	2.119564e+01	2.898954e+02	CEBPB;CITED2;COBL;LSR;MET;WNT4
GO_Biological_Process_2023	Negative Regulation Of Programmed Cell Death (GO:0043069)	16/381	1.441779e-06	3.993729e-04	0	0	4.655678e+00	6.261716e+01	CITED2;ANXA4;HPN;PEPD;THBS1;IFIT3;POU3F3;PKHD1;PRDX5;KRT18;CTSH;TMBIM6;NUPR1;ATF5;CRYAB;MET
GO_Biological_Process_2023	Regulation Of Cell Migration (GO:0030334)	17/434	1.733913e-06	4.002449e-04	0	0	4.341951e+00	5.759654e+01	JAG1;CITED2;TPM1;PDGFA;LAMC2;PLET1;RHOD;THBS1;SYNE2;CLDN4;CLDN3;CDH1;PLAU;CLDN19;GCNT2;CTSH;SMIM22
GO_Biological_Process_2023	Positive Regulation Of Cell Motility (GO:2000147)	12/221	2.303112e-06	4.556871e-04	0	0	6.015505e+00	7.808878e+01	CLDN4;CLDN3;PLAU;GCNT2;PDGFA;CTSH;LAMC2;PLET1;RHOD;THBS1;SYNE2;SMIM22
GO_Biological_Process_2023	Hepaticobiliary System Development (GO:0061008)	5/23	2.697251e-06	4.669615e-04	0	0	2.832617e+01	3.632344e+02	CITED2;COBL;LSR;MET;WNT4
GO_Biological_Process_2023	Epithelial Cell Morphogenesis (GO:0003382)	4/12	4.422216e-06	6.805298e-04	0	0	5.075128e+01	6.257059e+02	PKHD1;CLDN3;RAB25;MET
GO_Biological_Process_2023	Negative Regulation Of Cell Population Proliferation (GO:0008285)	15/379	6.360091e-06	7.998006e-04	0	0	4.353126e+00	5.208720e+01	CDKN2B;HPN;P3H2;THBS1;IFIT3;SAV1;SULT2B1;ADGRG1;CLDN3;SCIN;CLMN;CLDN19;NUPR1;ATF5;S100A11
