Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Cell Migration (GO:0030334)	19/434	6.903589e-08	1.124595e-04	0	0	4.958646e+00	8.176132e+01	ITGB1;ANXA1;TGFB1;SERPINE2;IGFBP5;F2R;PRKCA;ACTN4;MYLK;BMP2;SFRP2;TMSB4X;FLNA;EMILIN1;AMOTL1;TMSB10;FERMT2;VCL;ENG
GO_Biological_Process_2023	Positive Regulation Of Neuron Projection Development (GO:0010976)	9/92	3.256668e-07	2.652556e-04	0	0	1.131325e+01	1.689905e+02	SCARB2;NPTN;ATP1B2;PTN;APOE;CAMK1;SERPINI1;SCN1B;DBN1
GO_Biological_Process_2023	Negative Regulation Of Peptidase Activity (GO:0010466)	7/60	2.076658e-06	1.030684e-03	0	0	1.365633e+01	1.786896e+02	CST3;ECM1;SERPINE2;LRP1;TIMP2;SERPING1;SERPINI1
GO_Biological_Process_2023	Positive Regulation Of Wound Healing (GO:0090303)	6/40	2.530839e-06	1.030684e-03	0	0	1.816912e+01	2.341447e+02	ITGB1;ANXA1;F2R;EMILIN1;FERMT2;MYLK
GO_Biological_Process_2023	Regulation Of Neuron Projection Development (GO:0010975)	10/174	9.512941e-06	3.099316e-03	0	0	6.369357e+00	7.364796e+01	SCARB2;RTN4RL1;NPTN;ATP1B2;APOE;SERPINI1;PTN;CAMK1;SCN1B;DBN1
GO_Biological_Process_2023	Response To Interferon-Alpha (GO:0035455)	4/17	2.004791e-05	3.909884e-03	0	0	3.138620e+01	3.395166e+02	IFITM3;IFITM2;AXL;GATA3
GO_Biological_Process_2023	Positive Regulation Of Glial Cell Differentiation (GO:0045687)	4/17	2.004791e-05	3.909884e-03	0	0	3.138620e+01	3.395166e+02	BMP2;TGFB1;SERPINE2;PTN
GO_Biological_Process_2023	Positive Regulation Of Cell Projection Organization (GO:0031346)	8/118	2.311547e-05	3.909884e-03	0	0	7.537608e+00	8.046403e+01	SCARB2;NPTN;ATP1B2;APOE;SERPINI1;PTN;CAMK1;SCN1B
GO_Biological_Process_2023	Positive Regulation Of Response To External Stimulus (GO:0032103)	9/155	2.465305e-05	3.909884e-03	0	0	6.410959e+00	6.802418e+01	LGALS1;TGFB1;CAMK2N1;RARRES2;PRKCA;EMILIN1;PTN;ETS1;GPSM3
GO_Biological_Process_2023	Negative Regulation Of Cellular Process (GO:0048523)	17/537	2.636887e-05	3.909884e-03	0	0	3.482724e+00	3.671950e+01	TGFB1;SUSD2;F2R;FHL1;P3H3;GATA3;NGF;ETS1;ACTB;HOPX;BMP2;SFRP2;FTH1;IGFBP7;EMILIN1;CCN2;TNS2
GO_Biological_Process_2023	Regulation Of Endothelial Cell Migration (GO:0010594)	7/88	2.702726e-05	3.909884e-03	0	0	8.922953e+00	9.385755e+01	SPARC;PRKCA;GATA3;PTN;APOE;NR2F2;ETS1
GO_Biological_Process_2023	Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060393)	6/61	3.081013e-05	3.909884e-03	0	0	1.121989e+01	1.165484e+02	GDF10;BMP2;TGFB1;LRP1;EMILIN1;ENG
GO_Biological_Process_2023	Regulation Of Cell Motility (GO:2000145)	8/123	3.120226e-05	3.909884e-03	0	0	7.208055e+00	7.478371e+01	CADM4;TGFB1;SERPINE2;TMSB4X;FLNA;GATA3;AMOTL1;TMSB10
GO_Biological_Process_2023	Regulation Of Endothelial Cell Proliferation (GO:0001936)	7/93	3.868849e-05	4.501682e-03	0	0	8.402046e+00	8.536452e+01	ECM1;BMP2;SPARC;PRKCA;VEGFD;APOE;NR2F2
