Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cytoplasmic Translation (GO:0002181)	31/93	2.295876e-41	2.975455e-38	0	0	6.910490e+01	6.466482e+03	RPL4;EIF4A1;RPL32;RPL34;RPLP1;RPL8;RPS15;RPS4X;RPS14;RPS16;RPL18A;RPS19;RPS18;RACK1;RPS3;RPLP2;RPL38;RPL37;RPS11;RPS9;RPL41;RPS5;RPL22;RPL13A;RPL35A;RPS26;RPS27;RPL37A;RPS20;FAU;RPS21
GO_Biological_Process_2023	Peptide Biosynthetic Process (GO:0043043)	29/158	2.565870e-30	1.662684e-27	0	0	3.053798e+01	2.080713e+03	RPL4;RPL32;RPL34;RPLP1;RPL8;RPS15;RPS4X;RPS14;RPS16;RPL18A;RPS19;RPS18;RPS3;RPLP2;RPL38;RPL37;RPS11;RPS9;RPL41;RPS5;RPL22;RPL13A;RPL35A;RPS26;RPS27;RPL37A;RPS20;FAU;RPS21
GO_Biological_Process_2023	Macromolecule Biosynthetic Process (GO:0009059)	30/183	8.541693e-30	3.690011e-27	0	0	2.678785e+01	1.792981e+03	RPL4;RPL32;RPL34;RPLP1;RPL8;RPS15;RPS4X;RPS14;RPS16;RPL18A;RPS19;RPS18;RPS3;RPLP2;RPL38;RPL37;RPS11;RPS9;RPL41;RPS5;RPL22;RPL13A;RPL35A;EEF2;RPS26;RPS27;RPL37A;RPS20;FAU;RPS21
GO_Biological_Process_2023	Translation (GO:0006412)	31/234	8.137262e-28	2.636473e-25	0	0	2.095535e+01	1.307110e+03	RPL4;RPL32;RPL34;RPLP1;RPL8;RPS15;RPS4X;RPS14;RPS16;RPL18A;RPS19;RPS18;RACK1;RPS3;RPLP2;RPL38;RPL37;RPS11;RPS9;RPL41;RPS5;RPL22;RPL13A;RPL35A;EEF2;RPS26;RPS27;RPL37A;RPS20;FAU;RPS21
GO_Biological_Process_2023	Gene Expression (GO:0010467)	29/296	2.915186e-22	7.556162e-20	0	0	1.465094e+01	7.264951e+02	RPL4;RPL32;RPL34;RPLP1;RPL8;RPS15;RPS4X;RPS14;RPS16;RPL18A;RPS19;RPS18;RPS3;RPLP2;RPL38;RPL37;RPS11;RPS9;RPL41;RPS5;RPL22;RPL13A;RPL35A;RPS26;RPS27;RPL37A;RPS20;FAU;RPS21
GO_Biological_Process_2023	Ribonucleoprotein Complex Biogenesis (GO:0022613)	12/118	4.925142e-10	1.063831e-07	0	0	1.378057e+01	2.953383e+02	RPS15;RPS4X;RPS14;RPS9;NPM1;RPS16;RPS27;RPS19;RPS5;RPL35A;RPL38;RPS11
GO_Biological_Process_2023	Ribosomal Small Subunit Biogenesis (GO:0042274)	10/84	3.036082e-09	5.621089e-07	0	0	1.627554e+01	3.192073e+02	RPS15;RPS4X;RPS14;RPS9;NPM1;RPS16;RPS27;RPS19;RPS5;RPS11
GO_Biological_Process_2023	B Cell Receptor Signaling Pathway (GO:0050853)	8/46	5.497396e-09	8.905781e-07	0	0	2.509575e+01	4.772959e+02	CD79B;IGHM;MEF2C;IGKC;CD19;IGLC3;IGHD;MS4A1
GO_Biological_Process_2023	Ribosome Biogenesis (GO:0042254)	12/155	1.134302e-08	1.633395e-06	0	0	1.019580e+01	1.865288e+02	RPS15;RPS4X;RPS14;RPS9;NPM1;RPS16;RPS27;RPS19;RPS5;RPL35A;RPS11;NOP53
GO_Biological_Process_2023	Ribosome Assembly (GO:0042255)	7/50	2.436041e-07	2.980837e-05	0	0	1.928436e+01	2.936569e+02	RPS15;RPS14;NPM1;RPS27;RPS19;RPS5;NOP53
GO_Biological_Process_2023	Ribosomal Small Subunit Assembly (GO:0000028)	5/17	2.675063e-07	2.980837e-05	0	0	4.885108e+01	7.393183e+02	RPS15;RPS14;RPS27;RPS19;RPS5
GO_Biological_Process_2023	Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	10/134	2.760034e-07	2.980837e-05	0	0	9.688238e+00	1.463200e+02	CD79B;IGHM;MEF2C;FYB1;IGKC;CD19;IGLC3;IGHD;NFKBID;MS4A1
GO_Biological_Process_2023	Positive Regulation Of Cytokine Production (GO:0001819)	14/320	8.515350e-07	8.489149e-05	0	0	5.581699e+00	7.801109e+01	CD74;TGFB1;LAPTM5;CYBA;CYRIB;FOXP1;CD2;TYROBP;IGHD;RPS3;CCR7;IRF5;LCP1;LTB
GO_Biological_Process_2023	protein-RNA Complex Assembly (GO:0022618)	9/150	6.736225e-06	6.235820e-04	0	0	7.615087e+00	9.068054e+01	RPS15;RPS14;RPS27;HSP90AB1;RPS19;RPS5;RPL38;EIF3F;NOP53
GO_Biological_Process_2023	rRNA Processing (GO:0006364)	7/101	2.891518e-05	2.389845e-03	0	0	8.798828e+00	9.195782e+01	RPS15;RPS14;RPS16;RPS27;RPS19;RPL35A;NOP53
GO_Biological_Process_2023	Positive Regulation Of Signal Transduction By P53 Class Mediator (GO:1901798)	4/21	2.950426e-05	2.389845e-03	0	0	2.741730e+01	2.859892e+02	RPS15;DDX5;RPS20;RPL37
GO_Biological_Process_2023	Negative Regulation Of Actin Filament Polymerization (GO:0030837)	4/23	4.306344e-05	3.282954e-03	0	0	2.452879e+01	2.465839e+02	TMSB4X;CYRIB;PFN1;TMSB10
GO_Biological_Process_2023	Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	15/525	5.756914e-05	4.139658e-03	0	0	3.573067e+00	3.488215e+01	CD74;TGFB1;HSP90AB1;SHISA5;LAPTM5;RPS15;REL;RACK1;RPS3;HCLS1;RPS20;CCR7;PTPN6;RPL37;LTB
GO_Biological_Process_2023	Regulation Of B Cell Activation (GO:0050864)	4/25	6.068943e-05	4.139658e-03	0	0	2.219048e+01	2.154638e+02	SH3KBP1;CD19;LAPTM5;SAMSN1
GO_Biological_Process_2023	Regulation Of Interleukin-12 Production (GO:0032655)	5/50	7.262087e-05	4.705832e-03	0	0	1.300526e+01	1.239435e+02	LAPTM5;CCR7;IRF5;LTB;FOXP1
GO_Biological_Process_2023	Positive Regulation Of B Cell Activation (GO:0050871)	5/52	8.783901e-05	5.420922e-03	0	0	1.245059e+01	1.162885e+02	CD74;MEF2C;SPI1;SH3KBP1;TNFRSF13C
GO_Biological_Process_2023	Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	4/30	1.270928e-04	7.486920e-03	0	0	1.791855e+01	1.607400e+02	RPS14;RPS16;RPS19;RPS21
GO_Biological_Process_2023	rRNA Metabolic Process (GO:0016072)	6/91	1.438397e-04	8.105055e-03	0	0	8.294538e+00	7.338021e+01	RPS15;RPS16;RPS27;RPS19;RPL35A;NOP53
GO_Biological_Process_2023	Positive Regulation Of Interleukin-12 Production (GO:0032735)	4/33	1.859502e-04	1.004131e-02	0	0	1.606247e+01	1.379772e+02	LAPTM5;CCR7;IRF5;LTB
GO_Biological_Process_2023	Negative Regulation Of Macromolecule Metabolic Process (GO:0010605)	8/186	2.292523e-04	1.188444e-02	0	0	5.319616e+00	4.458204e+01	MEF2C;SPI1;TGFB1;HSP90AB1;SUB1;REL;RACK1;FOXP1
GO_Biological_Process_2023	ncRNA Processing (GO:0034470)	6/100	2.412014e-04	1.202296e-02	0	0	7.496960e+00	6.244877e+01	RPS15;RPS16;RPS27;RPS19;RPL35A;NOP53
GO_Biological_Process_2023	B Cell Mediated Immunity (GO:0019724)	3/15	2.726698e-04	1.308815e-02	0	0	2.896784e+01	2.377463e+02	CD74;CD19;IL21R
